 ,Area,Mean,Min,Max
1,3.800E-8,174.561,67,251
2,4.541E-8,152.454,69,250
3,3.679E-8,154.467,78,250
4,5.537E-8,160.356,77,253
5,3.840E-8,142.308,72,250
