 ,Area,Mean,Min,Max
316,1322,255,255,255
317,26,255,255,255
318,548,255,255,255
319,472,255,255,255
320,426,255,255,255
321,315,255,255,255
322,363,255,255,255
323,338,255,255,255
324,119,255,255,255
325,150,255,255,255
326,109,255,255,255
327,70,255,255,255
328,112,255,255,255
329,1033,255,255,255
330,49,255,255,255
331,515,255,255,255
332,847,255,255,255
333,28,255,255,255
334,30,255,255,255
335,459,255,255,255
336,588,255,255,255
337,26,255,255,255
338,435,255,255,255
339,376,255,255,255
340,796,255,255,255
341,362,255,255,255
342,421,255,255,255
343,588,255,255,255
344,264,255,255,255
345,343,255,255,255
346,207,255,255,255
347,86,255,255,255
348,45,255,255,255
349,44,255,255,255
350,81,255,255,255
351,46,255,255,255
352,34,255,255,255
353,48,255,255,255
354,768,255,255,255
355,42,255,255,255
356,47,255,255,255
357,518,255,255,255
358,858,255,255,255
359,30,255,255,255
360,1080,255,255,255
361,867,255,255,255
362,969,255,255,255
363,720,255,255,255
364,874,255,255,255
365,807,255,255,255
366,1321,255,255,255
367,808,255,255,255
368,560,255,255,255
369,580,255,255,255
370,422,255,255,255
371,401,255,255,255
372,206,255,255,255
373,231,255,255,255
374,115,255,255,255
375,196,255,255,255
376,736,255,255,255
377,1214,255,255,255
378,430,255,255,255
379,73,255,255,255
380,855,255,255,255
381,276,255,255,255
382,92,255,255,255
383,792,255,255,255
384,75,255,255,255
385,394,255,255,255
386,516,255,255,255
387,350,255,255,255
388,34,255,255,255
389,29,255,255,255
390,334,255,255,255
391,23,255,255,255
