 ,Area,Mean,Min,Max,,Total pore area ,Fibre Area (microm),FWA (%)
194,88.26,255,255,255,,,,
195,92.246,255,255,255,,,,
196,72.886,255,255,255,,,,
197,84.274,255,255,255,,,,
198,940.114,255,255,255,,,,
199,770.996,255,255,255,,,,
200,43.276,255,255,255,,,,
201,71.747,255,255,255,,,,
202,672.486,255,255,255,,,,
203,67.761,255,255,255,,,,
204,38.721,255,255,255,,,,
205,136.092,255,255,255,,,,
206,136.661,255,255,255,,,,
207,187.34,255,255,255,,,,
208,33.596,255,255,255,,,,
209,104.204,255,255,255,,,,
210,85.983,255,255,255,,,,
211,138.939,255,255,255,,,,
212,158.299,255,255,255,,,,
213,122.995,255,255,255,,,,
214,23.346,255,255,255,,,,
215,143.494,255,255,255,,,,
216,130.967,255,255,255,,,,
217,55.803,255,255,255,,,,
218,264.781,255,255,255,,,,
219,51.248,255,255,255,,,,
220,461.801,255,255,255,,,,
221,37.012,255,255,255,,,,
222,416.247,255,255,255,,,,
223,408.275,255,255,255,,,,
224,132.106,255,255,255,,,,
225,42.707,255,255,255,,,,
226,403.72,255,255,255,,,,
227,30.749,255,255,255,,,,
228,275.03,255,255,255,,,,
229,30.749,255,255,255,,,,
230,29.04,255,255,255,,,,
231,306.349,255,255,255,,,,
232,31.318,255,255,255,,,,
233,171.396,255,255,255,,,,
234,370.124,255,255,255,,,,
235,30.179,255,255,255,,,,
236,386.068,255,255,255,,,,
237,215.811,255,255,255,,,,
238,27.902,255,255,255,,,,
239,142.925,255,255,255,,,,
240,169.688,255,255,255,,,,
241,19.36,255,255,255,,,,
242,17.652,255,255,255,,,,
243,707.221,255,255,255,,,,
244,86.552,255,255,255,,,,
245,21.069,255,255,255,,,,
246,46.123,255,255,255,,,,
247,63.775,255,255,255,,,,
248,455.537,255,255,255,,,,
249,357.027,255,255,255,,,,
250,276.739,255,255,255,,,,
251,395.748,255,255,255,,,,
252,46.693,255,255,255,,,,
253,30.179,255,255,255,,,,
254,23.346,255,255,255,,,,
255,456.676,255,255,255,,,,
256,478.314,255,255,255,,,,
257,296.099,255,255,255,,,,
258,21.069,255,255,255,,,,
259,26.193,255,255,255,,,,
260,272.183,255,255,255,,,,
261,193.603,255,255,255,,,,
262,223.783,255,255,255,,,,
263,123.564,255,255,255,,,,
264,133.245,255,255,255,,,,
265,13.666,255,255,255,,,,
266,12.527,255,255,255,,,,
267,397.456,255,255,255,,,,
268,58.65,255,255,255,,,,
269,87.121,255,255,255,,,,
270,75.733,255,255,255,,,,
271,75.164,255,255,255,,,,
272,50.678,255,255,255,,,,
273,50.678,255,255,255,,,,
274,726.012,255,255,255,,,,
275,24.485,255,255,255,,,,
276,27.332,255,255,255,,,,
277,39.29,255,255,255,,,,
278,22.207,255,255,255,,,,
279,18.791,255,255,255,,,,
280,29.04,255,255,255,,,,
281,18.791,255,255,255,,,,
282,22.207,255,255,255,,,,
283,354.749,255,255,255,,,,
284,558.602,255,255,255,,,,
285,525.576,255,255,255,,,,
286,550.061,255,255,255,,,,
287,470.911,255,255,255,,,,
288,465.787,255,255,255,,,,
289,453.259,255,255,255,,,,
290,421.941,255,255,255,,,,
291,239.157,255,255,255,,,,
292,260.795,255,255,255,,,,
293,195.881,255,255,255,,,,
294,185.631,255,255,255,,,,
295,243.712,255,255,255,,,,
296,318.876,255,255,255,,,,
297,194.742,255,255,255,,,,
298,126.411,255,255,255,,,,
299,54.095,255,255,255,,,,
300,66.622,255,255,255,,,,
301,67.192,255,255,255,,,,
302,334.25,255,255,255,,,,
303,27.902,255,255,255,,,,
304,39.859,255,255,255,,,,
305,39.29,255,255,255,,,,
306,405.428,255,255,255,,,,
307,296.099,255,255,255,,,,
308,370.124,255,255,255,,,,
309,708.36,255,255,255,,,,
310,441.871,255,255,255,,,,
311,154.313,255,255,255,,,,
312,18.221,255,255,255,,,,
313,18.221,255,255,255,,,,
314,372.971,255,255,255,,,,
315,752.775,255,255,255,,,,
316,14.805,255,255,255,,,,
317,312.043,255,255,255,,,,
318,268.767,255,255,255,,,,
319,242.573,255,255,255,,,,
320,179.368,255,255,255,,,,
321,206.7,255,255,255,,,,
322,192.464,255,255,255,,,,
323,67.761,255,255,255,,,,
324,85.413,255,255,255,,,,
325,62.067,255,255,255,,,,
326,39.859,255,255,255,,,,
327,63.775,255,255,255,,,,
328,588.212,255,255,255,,,,
329,27.902,255,255,255,,,,
330,293.252,255,255,255,,,,
331,482.3,255,255,255,,,,
332,15.944,255,255,255,,,,
333,17.083,255,255,255,,,,
334,261.364,255,255,255,,,,
335,334.82,255,255,255,,,,
336,14.805,255,255,255,,,,
337,247.698,255,255,255,,,,
338,214.102,255,255,255,,,,
339,453.259,255,255,255,,,,
340,206.13,255,255,255,,,,
341,239.726,255,255,255,,,,
342,334.82,255,255,255,,,,
343,150.327,255,255,255,,,,
344,195.311,255,255,255,,,,
345,117.87,255,255,255,,,,
346,48.97,255,255,255,,,,
347,25.624,255,255,255,,,,
348,25.055,255,255,255,,,,
349,46.123,255,255,255,,,,
350,26.193,255,255,255,,,,
351,19.36,255,255,255,,,,
352,27.332,255,255,255,,,,
353,437.315,255,255,255,,,,
354,23.916,255,255,255,,,,
355,26.763,255,255,255,,,,
356,294.96,255,255,255,,,,
357,488.563,255,255,255,,,,
358,17.083,255,255,255,,,,
359,614.975,255,255,255,,,,
360,493.688,255,255,255,,,,
361,551.769,255,255,255,,,,
362,409.983,255,255,255,,,,
363,497.674,255,255,255,,,,
364,459.523,255,255,255,,,,
365,752.205,255,255,255,,,,
366,460.092,255,255,255,,,,
367,318.876,255,255,255,,,,
368,330.264,255,255,255,,,,
369,240.296,255,255,255,,,,
370,228.338,255,255,255,,,,
371,117.301,255,255,255,,,,
372,131.536,255,255,255,,,,
373,65.483,255,255,255,,,,
374,111.607,255,255,255,,,,
375,419.094,255,255,255,,,,
376,691.277,255,255,255,,,,
377,244.851,255,255,255,,,,
378,41.568,255,255,255,,,,
379,486.855,255,255,255,,,,
380,157.16,255,255,255,,,,
381,29.61,255,255,255,,,,
382,52.387,255,255,255,,,,
383,450.982,255,255,255,,,,
384,42.707,255,255,255,,,,
385,224.352,255,255,255,,,,
386,293.821,255,255,255,,,,
387,199.297,255,255,255,,,,
388,19.36,255,255,255,,,,
389,16.513,255,255,255,,,,
390,190.187,255,255,255,,,,
391,13.097,255,255,255,,,,
392,379847.759,65.84,0,255,,,,
