Date,Time,Current Temperature,Average Temperature,Maximum Temperature,Minimum Temperature,Radiation,Rainfall
2019-01-01,1:00:00,-5.3,-7.6,-5.3,-8.8,0,0
2019-01-01,2:00:00,-3.7,-4.6,-3.6,-5.6,0,0
2019-01-01,3:00:00,-4.3,-4,-2.8,-4.3,0,0
2019-01-01,4:00:00,-1,-2.4,-1,-4.4,0,0
2019-01-01,5:00:00,-1.3,-1.4,-0.8,-1.8,0,0
2019-01-01,6:00:00,0.3,-1.2,0.3,-2.2,0,0
2019-01-01,7:00:00,0.1,0.2,1,-0.3,0,0
2019-01-01,8:00:00,1,0.9,1.6,0.1,0,0
2019-01-01,9:00:00,-2.7,-1.5,1,-3,0,0
2019-01-01,10:00:00,-3.8,-3.6,-2.6,-4.6,2.5,0
2019-01-01,11:00:00,-3.7,-4.2,-3.6,-4.7,15.1,0
2019-01-01,12:00:00,-0.3,-1.9,-0.3,-3.9,87.1,0
2019-01-01,13:00:00,0.3,-0.4,0.3,-1.1,236.2,0
2019-01-01,14:00:00,1,1.8,3.1,0.3,220.3,0
2019-01-01,15:00:00,-0.9,0.3,1.5,-0.9,80.2,0
2019-01-01,16:00:00,-0.1,-0.4,0,-0.9,49.3,0
2019-01-01,17:00:00,1,1,2.6,-0.1,28.3,0
2019-01-01,18:00:00,3.4,2.1,3.5,-0.1,5.6,0
2019-01-01,19:00:00,1.5,2.8,3.4,1.4,0,0
2019-01-01,20:00:00,2.7,2,2.7,1.4,0,0
2019-01-01,21:00:00,3,2.6,3.1,2.1,0,0
2019-01-01,22:00:00,2.3,2.4,3.4,1.9,0,0
2019-01-01,23:00:00,0.1,1.9,3,0.1,0,0
2019-01-01,0:00:00,-0.4,-0.7,0.4,-1.3,0,0
2019-01-02,1:00:00,1.1,1.4,2.9,-0.4,0,0
2019-01-02,2:00:00,0,0.9,1.9,0,0,0
2019-01-02,3:00:00,-1.1,-1.4,0,-2.1,0,0
2019-01-02,4:00:00,-0.6,0.5,2.3,-1.2,0,0
2019-01-02,5:00:00,0.2,-0.6,0.6,-1.4,0,0
2019-01-02,6:00:00,4.4,3.4,5.3,0.2,0,0
