"TOA5","CR1000","CR1000","63335","CR1000.Std.27","CPU:estefania_test_radiometer.CR1","2458","RAD"
"TIMESTAMP","RECORD","NR_Wm2","NR_Wm2_Avg"
"TS","RN","W/meter^2","W/meter^2"
"","","Smp","Avg"
"2020-04-27 11:00:00",0,285.9,497.5
"2020-04-27 12:00:00",1,61.22,78.36
"2020-04-27 13:00:00",2,2.355,105.5
"2020-04-27 14:00:00",3,202.7,71.39
"2020-04-27 15:00:00",4,-2.02,-2.693
"2020-04-27 16:00:00",5,145.7,113.4
"2020-04-27 17:00:00",6,390.6,374.8
"2020-04-27 18:00:00",7,24.21,68.95
"2020-04-27 19:00:00",8,137.9,114.7
"2020-04-27 20:00:00",9,-9.42,9.08
"2020-04-27 21:00:00",10,-95.6,-88.5
"2020-04-27 22:00:00",11,-97.6,-102.2
"2020-04-27 23:00:00",12,-93.6,-94.5
"2020-04-28 00:00:00",13,-94.3,-93.8
"2020-04-28 01:00:00",14,-90.6,-116.7
"2020-04-28 02:00:00",15,-92.6,-96.7
"2020-04-28 03:00:00",16,-90.6,-89.9
"2020-04-28 04:00:00",17,-87.2,-89.3
"2020-04-28 05:00:00",18,-88.9,-89.3
"2020-04-28 06:00:00",19,-87.9,-88.3
"2020-04-28 07:00:00",20,-77.15,-79.51
"2020-04-28 08:00:00",21,-62.32,-69.9
"2020-04-28 09:00:00",22,-66.01,-61.64
"2020-04-28 10:00:00",23,-55.9,-52.87
"2020-04-28 11:00:00",24,757.2,704.3
"2020-04-28 12:00:00",25,840,829
"2020-04-28 13:00:00",26,915,846
"2020-04-28 14:00:00",27,883,792
"2020-04-28 15:00:00",28,741.6,693
"2020-04-28 16:00:00",29,717,438.1
"2020-04-28 17:00:00",30,251.4,337.3
"2020-04-28 18:00:00",31,388.6,172.5
"2020-04-28 19:00:00",32,152.2,256.4
"2020-04-28 20:00:00",33,-26.56,-6.222
"2020-04-28 21:00:00",34,-45.42,-43.23
"2020-04-28 22:00:00",35,-44.75,-44.75
"2020-04-28 23:00:00",36,-41.39,-41.22
"2020-04-29 00:00:00",37,-46.11,-42.07
"2020-04-29 01:00:00",38,-60.25,-70.01
