"TOA5","CR1000","CR1000","63335","CR1000.Std.27","CPU:estefania_test_radiometer.CR1","2458","RAD"
"TIMESTAMP","RECORD","NR_Wm2","NR_Wm2_Avg"
"TS","RN","W/meter^2","W/meter^2"
"","","Smp","Avg"
"2020-09-02 14:00:00",3075,130.1,202.5
"2020-09-02 15:00:00",3076,250.7,206.9
"2020-09-02 16:00:00",3077,515.5,303
"2020-09-02 17:00:00",3078,-31.24,136.2
"2020-09-02 18:00:00",3079,194.6,213.2
"2020-09-02 19:00:00",3080,-83.4,-62.02
"2020-09-02 20:00:00",3081,-93.2,-90.8
"2020-09-02 21:00:00",3082,-99.3,-98.2
"2020-09-02 22:00:00",3083,-93.2,-94.9
"2020-09-02 23:00:00",3084,-97.3,-95.3
"2020-09-03 00:00:00",3085,-94.3,-94.4
"2020-09-03 01:00:00",3086,-86.5,-89.9
"2020-09-03 02:00:00",3087,-87.9,-82.5
"2020-09-03 03:00:00",3088,-84.5,-69.35
"2020-09-03 04:00:00",3089,-87.9,-84.3
"2020-09-03 05:00:00",3090,-73.06,-76.76
"2020-09-03 06:00:00",3091,-73.4,-66.49
"2020-09-03 07:00:00",3092,-68.35,-65.32
"2020-09-03 08:00:00",3093,-17.84,-18.18
"2020-09-03 09:00:00",3094,-4.375,-5.048
"2020-09-03 10:00:00",3095,51.14,55.51
"2020-09-03 11:00:00",3096,203.8,215.8
"2020-09-03 12:00:00",3097,863,512.4
"2020-09-03 13:00:00",3098,577.5,444.2
"2020-09-03 14:00:00",3099,120.6,115
"2020-09-03 15:00:00",3100,155.9,139.3
"2020-09-03 16:00:00",3101,233.2,166.2
"2020-09-03 17:00:00",3102,77.94,204.3
"2020-09-03 18:00:00",3103,0,41.5
"2020-09-03 19:00:00",3104,3.362,-7.562
"2020-09-03 20:00:00",3105,-38.33,-40.85
"2020-09-03 21:00:00",3106,-38.67,-36.32
"2020-09-03 22:00:00",3107,-81.7,-71.45
"2020-09-03 23:00:00",3108,-64.91,-60.36
"2020-09-04 00:00:00",3109,-87.8,-88.5
"2020-09-04 01:00:00",3110,-84.4,-83.8
"2020-09-04 02:00:00",3111,-81.7,-82.1
