,Rain,Temp,WS,NR,VPD,PET,Sap velocity (cm/h),Total SF (cm3/h)
2022-04-25 14:30:00,0.0,13.088,2.01,539.0,1.0800991879465207,0.3788383360983477,1.6133835915846126,909.1223050893022
2022-04-25 15:00:00,0.0,12.968,2.01,543.7,1.067171955154321,0.3758181587816823,1.7581052857374555,983.6052953847704
2022-04-25 15:30:00,0.0,13.786,2.01,543.7,1.0988478787081897,0.3856320532466646,1.63082792245568,921.6156719300297
2022-04-25 16:00:00,0.0,12.485,2.01,484.1,0.993364910463704,0.3460249520237404,1.7807795301386509,992.9457220874477
2022-04-25 16:30:00,0.0,13.161,1.51,484.1,1.0443963721655831,0.3124422106367542,1.6351701419106874,919.1631083177315
2022-04-25 17:00:00,0.0,13.016,1.01,253.5,1.0225493464294773,0.2111374881185583,1.7472665739328472,978.6100404751634
2022-04-25 17:30:00,0.0,13.473,1.01,253.5,1.065875527868182,0.2183770448996202,1.8998524346650085,1058.8788315314512
2022-04-25 18:00:00,0.0,13.473,1.01,77.7,1.0566070450171543,0.185223510317206,1.4798243900926813,838.618511175051
2022-04-25 18:30:00,0.0,12.195,1.01,77.7,0.9589728267123752,0.1706499794929425,1.4519798605132448,806.5745085970835
2022-04-25 19:00:00,0.0,11.224,0.5,0.2,0.8633876572060271,0.0498665577844459,1.233941191708419,691.2149333486745
2022-04-25 19:30:00,0.0,10.81,0.5,0.2,0.8451398591250462,0.0489774309188378,1.0814929307593815,602.43047933926
2022-04-25 20:00:00,0.0,8.195,0.0,0.2,0.580511288640179,2.7884535497595156e-05,0.849276395542505,478.99223977979176
2022-04-25 20:30:00,0.0,6.839,0.5,0.2,0.4736197960425223,0.0283073351368473,0.7767483862027752,436.0966481058067
2022-04-25 21:00:00,0.0,8.319,0.5,0.2,0.5799428145394367,0.0342771863733454,0.6835962155896547,377.6364757729518
2022-04-25 21:30:00,0.0,7.995,0.5,0.2,0.5501430276057993,0.0325966539005178,0.6192832337068526,343.1825526720962
2022-04-25 22:00:00,0.0,5.745,0.0,0.2,0.3922971642365548,2.4442777673205428e-05,0.5558046734830595,304.24794808016924
2022-04-25 22:30:00,0.0,6.382,0.0,0.2,0.4090153567990434,2.5306633599255708e-05,0.426073377039577,234.70990374933513
2022-04-25 23:00:00,0.0,6.0,0.0,0.2,0.3805895271812497,2.4785996285137452e-05,0.4149043074803126,230.78480471780742
2022-04-25 23:30:00,0.0,6.712,0.0,0.2,0.4449445263208343,2.57626807481102e-05,0.3502284871304553,192.39744138559658
2022-04-26 00:00:00,0.0,7.091,0.0,0.2,0.4899540565056831,2.6293655713524186e-05,0.5409343037550717,300.1551494510854
2022-04-26 00:30:00,0.0,7.469,0.5,0.2,0.5514332930883384,0.0328022896992871,0.4202428901837027,235.83132404541627
