,Corrected Water Potential (MPa)
2021-05-24 05:30:00,-0.34194547846164997
2021-05-24 06:00:00,-0.3760652195682106
2021-05-24 06:30:00,-0.4089319359548642
2021-05-24 07:00:00,-0.44083167692281633
2021-05-24 07:30:00,-0.47274358680775735
2021-05-24 08:00:00,-0.5055766959478263
2021-05-24 08:30:00,-0.5390945009777887
2021-05-24 09:00:00,-0.5717924526117164
2021-05-24 09:30:00,-0.6022034630688599
2021-05-24 10:00:00,-0.6302003713349288
2021-05-24 10:30:00,-0.6567111097781329
2021-05-24 11:00:00,-0.6821343104813266
2021-05-24 11:30:00,-0.7050969395866211
2021-05-24 12:00:00,-0.722591559181952
2021-05-24 12:30:00,-0.73107081591609
2021-05-24 13:00:00,-0.727872907385225
2021-05-24 13:30:00,-0.7128428807937666
2021-05-24 14:00:00,-0.689094646808371
2021-05-24 14:30:00,-0.6614245889088302
2021-05-24 15:00:00,-0.6332680097374236
2021-05-24 15:30:00,-0.6051243587982434
2021-05-24 16:00:00,-0.5754809052248064
2021-05-24 16:30:00,-0.5424673584683016
2021-05-24 17:00:00,-0.504749639565935
2021-05-24 17:30:00,-0.4617021059801866
2021-05-24 18:00:00,-0.41391722964583727
2021-05-24 18:30:00,-0.3648037065973909
2021-05-24 19:00:00,-0.3212225518823709
2021-05-24 19:30:00,-0.29019624618965073
2021-05-24 20:00:00,-0.2735511359944836
2021-05-24 20:30:00,-0.26621886294105834
2021-05-24 21:00:00,-0.2605525218602505
2021-05-24 21:30:00,-0.2528140613444113
2021-05-24 22:00:00,-0.2458033739448036
2021-05-24 22:30:00,-0.24528060824524128
2021-05-24 23:00:00,-0.2539729629839682
2021-05-24 23:30:00,-0.2692287126421065
2021-05-25 00:00:00,-0.2858663708564479
2021-05-25 00:30:00,-0.3001683937925337
2021-05-25 01:00:00,-0.31116947461088346
2021-05-25 01:30:00,-0.31947772520870626
2021-05-25 02:00:00,-0.32582168664775657
2021-05-25 02:30:00,-0.33030639021589137
2021-05-25 03:00:00,-0.3321494711220478
2021-05-25 03:30:00,-0.3299311800647068
2021-05-25 04:00:00,-0.3227763146552004
2021-05-25 04:30:00,-0.31221908189487446
2021-05-25 05:00:00,-0.30338324917612
2021-05-25 05:30:00,-0.30422043869340154
2021-05-25 06:00:00,-0.32300397065848724
2021-05-25 06:30:00,-0.365073370473231
2021-05-25 07:00:00,-0.4296530708678302
2021-05-25 07:30:00,-0.5081380222730064
2021-05-25 08:00:00,-0.5860065286953872
2021-05-25 08:30:00,-0.6485829759096118
2021-05-25 09:00:00,-0.6877377675866764
2021-05-25 09:30:00,-0.7056700580002488
2021-05-25 10:00:00,-0.7129362175573347
2021-05-25 10:30:00,-0.720539752152949
2021-05-25 11:00:00,-0.7310859233622709
2021-05-25 11:30:00,-0.7374570853700668
2021-05-25 12:00:00,-0.7322556732448108
2021-05-25 12:30:00,-0.7201322034850552
2021-05-25 13:00:00,-0.7193531974426991
2021-05-25 13:30:00,-0.7473024632058736
2021-05-25 14:00:00,-0.8024869383383066
2021-05-25 14:30:00,-0.8616778887048834
2021-05-25 15:00:00,-0.8949462955147793
2021-05-25 15:30:00,-0.883630156834536
2021-05-25 16:00:00,-0.8276824695875958
2021-05-25 16:30:00,-0.7416792509344664
2021-05-25 17:00:00,-0.6458400084062027
2021-05-25 17:30:00,-0.5576885158795755
2021-05-25 18:00:00,-0.48771327499874806
2021-05-25 18:30:00,-0.4393654556532603
2021-05-25 19:00:00,-0.4106887977738046
2021-05-25 19:30:00,-0.3955382630386568
2021-05-25 20:00:00,-0.3852362385518047
2021-05-25 20:30:00,-0.37207427917385644
2021-05-25 21:00:00,-0.3534444411482458
2021-05-25 21:30:00,-0.33323266124852724
2021-05-25 22:00:00,-0.31855876719456405
2021-05-25 22:30:00,-0.31413675040116124
2021-05-25 23:00:00,-0.31930006997311133
2021-05-25 23:30:00,-0.32981037603974334
2021-05-26 00:00:00,-0.34142772170192576
2021-05-26 00:30:00,-0.35128542223173853
2021-05-26 01:00:00,-0.3568186226955807
2021-05-26 01:30:00,-0.3550925712463262
2021-05-26 02:00:00,-0.34433942089303304
2021-05-26 02:30:00,-0.3259596473570581
2021-05-26 03:00:00,-0.3040735033142903
2021-05-26 03:30:00,-0.28272783465802515
2021-05-26 04:00:00,-0.2639408299499126
2021-05-26 04:30:00,-0.24872772552039868
2021-05-26 05:00:00,-0.2396378306152651
2021-05-26 05:30:00,-0.24239883031212198
2021-05-26 06:00:00,-0.2666986667467382
2021-05-26 06:30:00,-0.3284162272507476
2021-05-26 07:00:00,-0.4515033790237702
2021-05-26 07:30:00,-0.6607352856613147
2021-05-26 08:00:00,-0.9592132158815891
2021-05-26 08:30:00,-1.3047489539303796
2021-05-26 09:00:00,-1.6145483627343618
2021-05-26 09:30:00,-1.807090539450072
2021-05-26 10:00:00,-1.8496612884682464
2021-05-26 10:30:00,-1.771456297689892
2021-05-26 11:00:00,-1.6370727894672634
2021-05-26 11:30:00,-1.5081424131236167
2021-05-26 12:00:00,-1.4195897356908158
2021-05-26 12:30:00,-1.3774565606622113
2021-05-26 13:00:00,-1.3716525089877358
2021-05-26 13:30:00,-1.3901128118531394
2021-05-26 14:00:00,-1.4211326715017227
2021-05-26 14:30:00,-1.4460689971494138
2021-05-26 15:00:00,-1.4420198131292792
2021-05-26 15:30:00,-1.4033881619408042
2021-05-26 16:00:00,-1.3596170244401637
2021-05-26 16:30:00,-1.364136923660184
2021-05-26 17:00:00,-1.4631933552296188
2021-05-26 17:30:00,-1.6734771119352816
2021-05-26 18:00:00,-1.9819378194591102
2021-05-26 18:30:00,-2.3592201748806385
2021-05-26 19:00:00,-2.7730869545408234
2021-05-26 19:30:00,-2.733897855367243
2021-05-26 20:00:00,-2.6947087561936627
2021-05-26 20:30:00,-2.6555196570200823
2021-05-26 21:00:00,-2.616330557846502
2021-05-26 21:30:00,
2021-05-26 22:00:00,
2021-05-26 22:30:00,
2021-05-26 23:00:00,-1.2828864663476722
2021-05-26 23:30:00,-1.2610239787649646
2021-05-27 00:00:00,-1.2391614911822573
2021-05-27 00:30:00,-1.2172990035995497
2021-05-27 01:00:00,
2021-05-27 01:30:00,
2021-05-27 02:00:00,
2021-05-27 02:30:00,
2021-05-27 03:00:00,
2021-05-27 03:30:00,
2021-05-27 04:00:00,
2021-05-27 04:30:00,
2021-05-27 05:00:00,
2021-05-27 05:30:00,
2021-05-27 06:00:00,
2021-05-27 06:30:00,
2021-05-27 07:00:00,
2021-05-27 07:30:00,
2021-05-27 08:00:00,
2021-05-27 08:30:00,
2021-05-27 09:00:00,
2021-05-27 09:30:00,
2021-05-27 10:00:00,
2021-05-27 10:30:00,
2021-05-27 11:00:00,
2021-05-27 11:30:00,
2021-05-27 12:00:00,
2021-05-27 12:30:00,
2021-05-27 13:00:00,
2021-05-27 13:30:00,
2021-05-27 14:00:00,
2021-05-27 14:30:00,
2021-05-27 15:00:00,
2021-05-27 15:30:00,
2021-05-27 16:00:00,
