Date,Rain,Temp,WS,NR,VPD,PET,Sap velocity (cm/h),Total SF (cm3/h)
2022-07-11 04:00:00,0.0,13.161,0.0,0.2,0.752268111545355,3.586361836441259e-05,2.5620161641461445,228.4993919128577
2022-07-11 04:30:00,0.0,11.613,0.0,0.2,0.6056567555569606,3.323138986250876e-05,0.8853117581038846,78.88680510036167
2022-07-11 05:00:00,0.0,11.734,0.0,0.2,0.6063867537500477,3.3432409920585494e-05,1.4276981214820803,127.05231079435907
2022-07-11 05:30:00,0.0,13.618,0.0,0.2,0.7687864099854975,3.666573640149513e-05,1.004884321761965,89.39113173631459
2022-07-11 06:00:00,0.0,13.185,0.0,0.2,0.7246445492737095,3.5905459563835916e-05,0.1213787894786675,10.78565440546309
2022-07-11 06:30:00,0.0,14.505,0.5,0.2,0.8523044846843648,0.0478733227837363,1.7613105339977635,157.12065987156825
2022-07-11 07:00:00,0.0,12.485,0.0,0.2,0.6255592439071723,3.469801230712109e-05,2.400472750079292,214.10245549561745
2022-07-11 07:30:00,0.0,14.912,0.5,0.2,0.8766813246639492,0.0490641304112543,3.183266342083533,284.0559116840928
2022-07-11 08:00:00,0.0,15.27,1.01,0.2,0.909253601632707,0.0720217230126137,6.158588743439667,548.9633841633718
2022-07-11 08:30:00,0.0,15.772,0.5,0.2,0.9622906381180392,0.0534365383600826,7.206146939680179,642.925407429677
2022-07-11 09:00:00,0.0,16.32,0.5,0.2,1.0132591867551697,0.0559829829182032,8.54902225157985,762.5929640393583
2022-07-11 09:30:00,0.0,16.582,0.5,0.2,1.037845307216687,0.0572015111080509,9.773300848255554,872.2800731418913
2022-07-11 10:00:00,0.0,17.748,0.5,0.2,1.1823396721375294,0.0644478557206239,14.014615328414484,1250.660265055797
2022-07-11 10:30:00,0.0,19.508,0.5,0.2,1.3970925166241102,0.0748463706399902,20.12998518556642,1797.1373021682512
2022-07-11 11:00:00,0.0,19.674,1.01,518.8,1.436775688758349,0.341851334699568,24.527168632331986,2192.349092497084
2022-07-11 11:30:00,0.0,20.936,1.01,518.8,1.607732230824426,0.370929068250453,28.028136377013276,2505.829648072636
2022-07-11 12:00:00,0.0,22.274,1.01,596.3,1.84693778750036,0.4304659249253346,27.24340102736501,2438.0770267903445
2022-07-11 12:30:00,0.0,22.609,0.5,596.3,1.909600048937454,0.3277401806497682,27.900874240652097,2495.9408704197813
2022-07-11 13:00:00,0.0,24.195,1.01,561.2,2.155581001660789,0.4704415866714477,27.621330494609055,2470.9114999777476
2022-07-11 13:30:00,0.0,24.098,1.01,561.2,2.1670934553963073,0.4718373460297713,24.23535769315234,2171.1592504116343
2022-07-11 14:00:00,0.0,24.412,1.01,654.6,2.2480033595592817,0.5117211342738741,27.789248416216125,2484.9428506587733
2022-07-11 14:30:00,0.0,25.453,1.01,654.6,2.408157143925058,0.5376721051585955,25.189620856957227,2254.6091670032297
2022-07-11 15:00:00,0.0,26.085,1.51,565.8,2.5405319620582705,0.6528117519826799,26.870627602039807,2403.118048025533
2022-07-11 15:30:00,0.0,26.695,1.01,565.8,2.6790596077742483,0.5499724328916926,25.198051924562073,2254.7363182899853
2022-07-11 16:00:00,0.0,26.744,1.01,501.9,2.711373582349757,0.5336661627382119,26.10796851887254,2334.4208046940676
2022-07-11 16:30:00,0.0,27.998,1.01,501.9,2.9555613420728184,0.5674675228882529,25.58422642853043,2286.2428754820253
2022-07-11 17:00:00,0.0,26.5,1.01,528.6,2.669265498633123,0.5363051030233659,24.381498887010892,2180.391753123232
2022-07-11 17:30:00,0.0,27.358,0.5,528.6,2.839910611962972,0.3973570340175295,32.932328114826404,2937.8810597349907
2022-07-11 18:00:00,0.0,27.949,1.01,350.0,2.950907991521308,0.5149986490125575,21.159460249579908,1895.0755558891765
2022-07-11 18:30:00,0.0,26.5,1.01,350.0,2.696962157503506,0.48251529907814,36.65906822282155,3267.7479343544346
2022-07-11 19:00:00,0.0,26.28,1.01,201.4,2.6656350036224756,0.4309543335090749,22.800337117252536,2039.5213742636815
2022-07-11 19:30:00,0.0,26.109,1.01,201.4,2.6557804640057525,0.4300979682621959,25.508923586662437,2278.9883347552172
2022-07-11 20:00:00,0.0,25.38,1.01,0.2,2.530589439572959,0.1843310217186914,23.69830089502488,2117.649278718035
2022-07-11 20:30:00,0.0,24.871,1.51,0.2,2.461374702903447,0.2107266820653873,24.595557298121673,2196.518380471563
2022-07-11 21:00:00,0.0,23.545,1.01,0.2,2.241417773386173,0.1660098192081179,23.654706738537563,2111.8979170746097
2022-07-11 21:30:00,0.0,23.112,1.01,0.2,2.1807933601465868,0.1621394542078938,23.64598276729254,2107.843455282843
2022-07-11 22:00:00,0.0,22.753,1.01,0.2,2.139461834809335,0.1595677367583353,16.364418282637786,1459.894607832225
2022-07-11 22:30:00,0.0,22.345,0.5,0.2,2.081732229389977,0.1082727837537571,12.95144510555227,1155.3643276760563
2022-07-11 23:00:00,0.0,22.465,1.51,0.2,2.072488229144279,0.1807519912328856,10.58470068543848,944.0931594221285
2022-07-11 23:30:00,0.0,22.202,1.51,0.2,2.0182012084216425,0.1763645831049498,9.32774475837178,832.0034197106081
2022-07-12 00:00:00,0.0,22.082,1.01,0.2,2.003509588400525,0.1502996547025281,7.466659247585795,666.1536522625216
2022-07-12 00:30:00,0.0,22.011,1.51,0.2,1.9816325815767757,0.1734158017931913,7.248102992854581,646.3759620847236
2022-07-12 01:00:00,0.0,21.819,1.51,0.2,1.953332443865142,0.171183111532331,6.638814672010738,591.8187815622133
2022-07-12 01:30:00,0.0,21.891,1.51,0.2,1.9461746472707413,0.1704649334664963,5.541760309901525,494.0822562946027
2022-07-12 02:00:00,0.0,21.795,1.01,0.2,1.9191399738831445,0.1443254621295391,5.191318754620514,462.955162335335
2022-07-12 02:30:00,0.0,21.724,1.51,0.2,1.905637801165308,0.1671211388406714,4.74726457891737,423.4881865994737
2022-07-12 03:00:00,0.0,21.748,1.51,0.2,1.890208027885307,0.1657387163785926,4.74726457891737,423.5920774713737
2022-07-12 03:30:00,0.0,21.39,1.51,0.2,1.828896984813404,0.1607867530531848,4.265978633167824,380.33581844293315
2022-07-12 04:00:00,0.0,21.413,1.51,0.2,1.8314745824491956,0.1609861582737767,3.822735435047839,340.854489880895
2022-07-12 04:30:00,0.0,20.984,1.01,0.2,1.759070065737594,0.1331995490896239,4.205248118341028,374.8017766428892
2022-07-12 05:00:00,0.0,21.079,1.51,0.2,1.766863197655168,0.1556874127487308,3.026074407226914,269.6016217246249
2022-07-12 05:30:00,0.0,20.436,1.01,0.2,1.667085376550267,0.1268125478263629,3.544113222250614,315.96765524075795
2022-07-12 06:00:00,0.0,19.746,0.0,0.2,1.5513912919410626,4.8495168331721855e-05,4.82174652292746,429.8427573273448
2022-07-12 06:30:00,0.0,18.58,0.5,0.2,1.367761561213192,0.0739522030567454,5.206004578341039,464.1408628374073
2022-07-12 07:00:00,0.0,16.606,0.0,0.2,1.0980161137261233,4.218798386732919e-05,6.130945033389328,546.5083961664459
2022-07-12 07:30:00,0.0,15.867,0.0,0.2,0.9771704078458102,4.0777784320328945e-05,7.165737640310545,639.0349061618897
2022-07-12 08:00:00,0.0,16.106,0.5,0.2,0.9738973478040368,0.0539155149629811,11.135621556475687,993.64617094537
2022-07-12 08:30:00,0.0,17.13,0.5,0.2,1.08628543145724,0.0595633263809702,13.926208873004205,1242.9724072567412
2022-07-12 09:00:00,0.0,18.39,0.0,36.12,1.2014043848654743,0.0099062380828598,17.313610838868318,1545.9100598600949
2022-07-12 09:30:00,0.0,20.984,0.0,36.12,1.6572030139081573,0.0110780760966207,19.481227286804536,1740.1766085425538
2022-07-12 10:00:00,0.0,22.298,1.01,32.13,1.9707907456853877,0.2956069566163724,23.305288526784405,2082.155953703536
2022-07-12 10:30:00,0.0,23.689,1.01,32.13,2.240431456290264,0.3291702965735498,25.92665202071605,2317.424194866544
2022-07-12 11:00:00,0.0,24.363,1.01,423.6,2.384749978760494,0.4625755368891054,27.15544521698968,2429.224796108689
