PSY (Mpa),% Loss,Species,Type,Curve,Material,Method,Diameter(mm),Paper
-6,95.616,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-6.00805153,93.536,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-6.00805153,81.536,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.776167472,85.497,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-5.033816425,79.105,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.792270531,79.097,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-5.025764895,69.665,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-5.549114332,62.961,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.977455717,59.903,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.486312399,79.407,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.502415459,75.408,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.285024155,73.321,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.301127214,65.001,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.188405797,64.998,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.502415459,53.968,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.252818035,49,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.019323671,51.872,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.019323671,50.272,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.019323671,47.552,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.504025765,42.896,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.011272142,41.312,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.028985507,44.961,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.996779388,51.84,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.761674718,32.024,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.761674718,30.104,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.777777778,27.545,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.504025765,33.136,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.512077295,31.056,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.495974235,28.336,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.512077295,25.456,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.254428341,27.208,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.246376812,25.608,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.246376812,22.728,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.020933977,25.121,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.020933977,20.481,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.020933977,19.361,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.004830918,16.48,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.505636071,35.664,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.513687601,31.024,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.505636071,19.184,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.505636071,15.344,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.497584541,13.264,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.513687601,11.024,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.006441224,25.728,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.006441224,21.888,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.006441224,16.288,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-1.982286634,9.727,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-1.322061192,11.466,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-1,14.816,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-1,12.896,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-1,12.096,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-1.01610306,8.416,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-1.01610306,4.736,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-1.00805153,0.896,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-0.098228663,0.867,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.784219002,97.817,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-4.260869565,96.84,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-4.132045089,92.996,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-4.132045089,87.236,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-4.244766506,85.16,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.922705314,85.309,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.874396135,82.908,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.979066023,82.271,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-4.196457327,80.358,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-4.099838969,73.475,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-4.08373591,70.435,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.834138486,74.107,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-5.114331723,62.948,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.914653784,50.109,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.91626409,48.957,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.826086957,39.386,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.882447665,34.108,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.67310789,26.581,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.851851852,25.435,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.658615137,21.429,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.513687601,21.584,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.642512077,14.228,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.199677939,10.534,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-1.314009662,19.306,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.600644122,16.019,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.367149758,15.692,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.552334944,13.618,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.447665056,13.134,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.334943639,12.331,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.117552335,10.084,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.980676329,7.519,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.592592593,10.099,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.028985507,0.481,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.666666667,0.149,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.400966184,0.461,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.207729469,0.614,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.022544283,0.769,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-1.893719807,3.484,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-1.531400966,2.673,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-1.523349436,0.593,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-1.314009662,1.066,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-0.099173554,0.664,Douglas fir ,branch,c3,adult branch,air-injection,>8,Sperry and Ikeda 1996
-0.991735537,0.996,Douglas fir ,branch,c3,adult branch,air-injection,>8,Sperry and Ikeda 1996
-2.024793388,1.826,Douglas fir ,branch,c3,adult branch,air-injection,>8,Sperry and Ikeda 1996
-3.008264463,4.979,Douglas fir ,branch,c3,adult branch,air-injection,>8,Sperry and Ikeda 1996
-4.024793388,7.635,Douglas fir ,branch,c3,adult branch,air-injection,>8,Sperry and Ikeda 1996
-5.049586777,35.353,Douglas fir ,branch,c3,adult branch,air-injection,>8,Sperry and Ikeda 1996
-6,75.021,Douglas fir ,branch,c3,adult branch,air-injection,>8,Sperry and Ikeda 1996
-7.008264463,93.112,Douglas fir ,branch,c3,adult branch,air-injection,>8,Sperry and Ikeda 1996
-8.033057851,99.253,Douglas fir ,branch,c3,adult branch,air-injection,>8,Sperry and Ikeda 1996
-7,99.585,Douglas fir ,branch,c4,adult branch,air-injection,<5,Sperry and Ikeda 1996
-6,96.598,Douglas fir ,branch,c4,adult branch,air-injection,<5,Sperry and Ikeda 1996
-5.008264463,62.739,Douglas fir ,branch,c4,adult branch,air-injection,<5,Sperry and Ikeda 1996
-4.008264463,30.373,Douglas fir ,branch,c4,adult branch,air-injection,<5,Sperry and Ikeda 1996
-2.991735537,19.917,Douglas fir ,branch,c4,adult branch,air-injection,<5,Sperry and Ikeda 1996
-2,10.29,Douglas fir ,branch,c4,adult branch,air-injection,<5,Sperry and Ikeda 1996
-0.991735537,5.477,Douglas fir ,branch,c4,adult branch,air-injection,<5,Sperry and Ikeda 1996
-5.016528926,98.257,Douglas fir ,root,c5,adult root,air-injection,>8,Sperry and Ikeda 1996
-4.008264463,52.116,Douglas fir ,root,c5,adult root,air-injection,>8,Sperry and Ikeda 1996
-3,7.469,Douglas fir ,root,c5,adult root,air-injection,>8,Sperry and Ikeda 1996
-2.504132231,5.643,Douglas fir ,root,c5,adult root,air-injection,>8,Sperry and Ikeda 1996
-1.991735537,4.481,Douglas fir ,root,c5,adult root,air-injection,>8,Sperry and Ikeda 1996
-1.487603306,2.158,Douglas fir ,root,c5,adult root,air-injection,>8,Sperry and Ikeda 1996
-0.991735537,2.324,Douglas fir ,root,c5,adult root,air-injection,>8,Sperry and Ikeda 1996
-0.107438017,0.498,Douglas fir ,root,c5,adult root,air-injection,>8,Sperry and Ikeda 1996
-5.008264463,98.423,Douglas fir ,root,c6,adult root,air-injection,<5,Sperry and Ikeda 1996
-4,87.303,Douglas fir ,root,c6,adult root,air-injection,<5,Sperry and Ikeda 1996
-3,70.041,Douglas fir ,root,c6,adult root,air-injection,<5,Sperry and Ikeda 1996
-2.512396694,63.9,Douglas fir ,root,c6,adult root,air-injection,<5,Sperry and Ikeda 1996
-2.016528926,54.772,Douglas fir ,root,c6,adult root,air-injection,<5,Sperry and Ikeda 1996
-1.495867769,44.979,Douglas fir ,root,c6,adult root,air-injection,<5,Sperry and Ikeda 1996
-1,25.56,Douglas fir ,root,c6,adult root,air-injection,<5,Sperry and Ikeda 1996
-6.845013625,98.669,Douglas fir ,stem,c7,seedling shoot cw,air-injection,4.22+-0.45,Kavanagh et al 1999 
-6.847875095,95.738,Douglas fir ,stem,c7,seedling shoot cw,air-injection,4.22+-0.45,Kavanagh et al 1999 
-6.872769885,93.394,Douglas fir ,stem,c7,seedling shoot cw,air-injection,4.22+-0.45,Kavanagh et al 1999 
-5.570228716,84.604,Douglas fir ,stem,c7,seedling shoot cw,air-injection,4.22+-0.45,Kavanagh et al 1999 
-5.619446001,80.502,Douglas fir ,stem,c7,seedling shoot cw,air-injection,4.22+-0.45,Kavanagh et al 1999 
-5.690124311,77.571,Douglas fir ,stem,c7,seedling shoot cw,air-injection,4.22+-0.45,Kavanagh et al 1999 
-5.018823437,70.539,Douglas fir ,stem,c7,seedling shoot cw,air-injection,4.22+-0.45,Kavanagh et al 1999 
-5.023115642,66.144,Douglas fir ,stem,c7,seedling shoot cw,air-injection,4.22+-0.45,Kavanagh et al 1999 
-5.005946822,60.577,Douglas fir ,stem,c7,seedling shoot cw,air-injection,4.22+-0.45,Kavanagh et al 1999 
-4.589889076,46.805,Douglas fir ,stem,c7,seedling shoot cw,air-injection,4.22+-0.45,Kavanagh et al 1999 
-4.572147961,41.824,Douglas fir ,stem,c7,seedling shoot cw,air-injection,4.22+-0.45,Kavanagh et al 1999 
-4.59904578,37.429,Douglas fir ,stem,c7,seedling shoot cw,air-injection,4.22+-0.45,Kavanagh et al 1999 
-3.06730086,8.713,Douglas fir ,stem,c7,seedling shoot cw,air-injection,4.22+-0.45,Kavanagh et al 1999 
-3.115659704,5.49,Douglas fir ,stem,c7,seedling shoot cw,air-injection,4.22+-0.45,Kavanagh et al 1999 
-3.186051867,2.853,Douglas fir ,stem,c7,seedling shoot cw,air-injection,4.22+-0.45,Kavanagh et al 1999 
-6.90978642,99.123,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-5.673892254,99.232,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-5.202103921,99.449,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-4.640261396,99.369,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-4.594357667,97.66,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-4.144883647,97.596,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-3.692540644,92.426,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-3.690627989,89.021,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-3.733184571,84.772,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-3.077621932,77.871,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-3.119700351,72.77,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-3.138826905,66.815,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-2.573956009,61.345,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-2.593401339,55.958,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-2.613324833,51.422,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-2.111252789,37.734,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-2.087185209,34.893,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-2.131176283,33.197,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-1.563914568,23.471,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-1.582722346,16.949,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-1.557379662,11.839,Douglas fir ,root,c8,seedling root cw,air-injection,0.76+-0.11,Kavanagh et al 1999 
-6.931595302,88.769,Douglas fir ,stem,c9,seedling shoot cd,air-injection,3.44+-0.45,Kavanagh et al 1999 
-6.950805117,82.77,Douglas fir ,stem,c9,seedling shoot cd,air-injection,3.44+-0.45,Kavanagh et al 1999 
-6.924653941,76.483,Douglas fir ,stem,c9,seedling shoot cd,air-injection,3.44+-0.45,Kavanagh et al 1999 
-5.700230033,69.252,Douglas fir ,stem,c9,seedling shoot cd,air-injection,3.44+-0.45,Kavanagh et al 1999 
-5.696194358,62.109,Douglas fir ,stem,c9,seedling shoot cd,air-injection,3.44+-0.45,Kavanagh et al 1999 
-5.692481537,55.537,Douglas fir ,stem,c9,seedling shoot cd,air-injection,3.44+-0.45,Kavanagh et al 1999 
-5.05855765,53.492,Douglas fir ,stem,c9,seedling shoot cd,air-injection,3.44+-0.45,Kavanagh et al 1999 
-5.100205819,47.209,Douglas fir ,stem,c9,seedling shoot cd,air-injection,3.44+-0.45,Kavanagh et al 1999 
-5.074377497,41.493,Douglas fir ,stem,c9,seedling shoot cd,air-injection,3.44+-0.45,Kavanagh et al 1999 
-4.575568021,38.6,Douglas fir ,stem,c9,seedling shoot cd,air-injection,3.44+-0.45,Kavanagh et al 1999 
-4.548932564,31.456,Douglas fir ,stem,c9,seedling shoot cd,air-injection,3.44+-0.45,Kavanagh et al 1999 
-4.613180516,25.175,Douglas fir ,stem,c9,seedling shoot cd,air-injection,3.44+-0.45,Kavanagh et al 1999 
-3.090600912,10.209,Douglas fir ,stem,c9,seedling shoot cd,air-injection,3.44+-0.45,Kavanagh et al 1999 
-3.111102143,6.496,Douglas fir ,stem,c9,seedling shoot cd,air-injection,3.44+-0.45,Kavanagh et al 1999 
-3.086726664,3.351,Douglas fir ,stem,c9,seedling shoot cd,air-injection,3.44+-0.45,Kavanagh et al 1999 
-6.868571429,99.371,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-6.868571429,96.493,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-6.891428571,90.736,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-5.634285714,94.855,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-5.611428571,87.663,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-5.611428571,81.908,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-5.108571429,89.426,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-4.994285714,75.909,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-5.085714286,63.24,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-4.56,75.94,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-4.582857143,64.428,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-4.537142857,49.755,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-4.057142857,49.214,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-4.057142857,43.17,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-4.08,35.687,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-3.6,43.203,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-3.577142857,40.903,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-3.051428571,33.746,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-3.074285714,30.867,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-2.548571429,23.711,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-2.525714286,19.683,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-2.068571429,10.508,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-2.091428571,8.492,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-2.068571429,3.601,Douglas fir ,root,c10,seedling root cd,air-injection,1.87+-0.46,Kavanagh et al 1999 
-6.893718827,86.509,Douglas fir ,stem,c11,seedling shoot iw,air-injection,2.75+-0.37,Kavanagh et al 1999 
-6.846518795,81.549,Douglas fir ,stem,c11,seedling shoot iw,air-injection,2.75+-0.37,Kavanagh et al 1999 
-6.887555249,75.415,Douglas fir ,stem,c11,seedling shoot iw,air-injection,2.75+-0.37,Kavanagh et al 1999 
-5.550058797,67.921,Douglas fir ,stem,c11,seedling shoot iw,air-injection,2.75+-0.37,Kavanagh et al 1999 
-5.523458092,60.04,Douglas fir ,stem,c11,seedling shoot iw,air-injection,2.75+-0.37,Kavanagh et al 1999 
-5.519240907,52.449,Douglas fir ,stem,c11,seedling shoot iw,air-injection,2.75+-0.37,Kavanagh et al 1999 
-5.027614452,47.521,Douglas fir ,stem,c11,seedling shoot iw,air-injection,2.75+-0.37,Kavanagh et al 1999 
-4.9577065,41.687,Douglas fir ,stem,c11,seedling shoot iw,air-injection,2.75+-0.37,Kavanagh et al 1999 
-4.975872836,34.386,Douglas fir ,stem,c11,seedling shoot iw,air-injection,2.75+-0.37,Kavanagh et al 1999 
-4.461700661,28.876,Douglas fir ,stem,c11,seedling shoot iw,air-injection,2.75+-0.37,Kavanagh et al 1999 
-4.504034711,25.078,Douglas fir ,stem,c11,seedling shoot iw,air-injection,2.75+-0.37,Kavanagh et al 1999 
-4.479380398,20.7,Douglas fir ,stem,c11,seedling shoot iw,air-injection,2.75+-0.37,Kavanagh et al 1999 
-2.984388305,9.714,Douglas fir ,stem,c11,seedling shoot iw,air-injection,2.75+-0.37,Kavanagh et al 1999 
-2.982441912,6.211,Douglas fir ,stem,c11,seedling shoot iw,air-injection,2.75+-0.37,Kavanagh et al 1999 
-2.936052877,2.71,Douglas fir ,stem,c11,seedling shoot iw,air-injection,2.75+-0.37,Kavanagh et al 1999 
-6.966906475,99.856,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-5.610871303,98.993,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-5.121183054,97.554,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-5.141486811,94.101,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-5.139408473,90.36,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-4.629576339,92.662,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-4.625259792,84.892,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-4.644444444,79.424,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-4.113509193,83.741,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-4.128697042,71.079,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-4.167226219,60.432,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-3.647641886,85.18,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-3.639808153,71.079,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-3.654196643,56.978,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-3.054356515,57.266,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-3.116227018,48.633,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-3.132853717,38.561,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-2.667306155,40.576,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-2.641886491,34.82,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-2.65931255,26.187,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-2.150119904,29.64,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-2.079456435,22.446,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-2.142126299,15.252,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-1.655315747,18.993,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-1.607034373,12.086,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
-1.604156675,6.906,Douglas fir ,root,c12,seedling root iw,air-injection,0.96+-0.12,Kavanagh et al 1999 
