Date,Rain,Temp,WS,NR,VPD,PET,Sap velocity (cm/h),Total SF (cm3/h)
2022-10-04 10:30:00,0.0,13.088,0.0,0.2,0.5633990185383525,3.5736544531296665e-05,16.47717498957814,1252.7026399599656
2022-10-04 11:00:00,0.0,14.649,0.0,208.4,0.7418991666079228,0.0481616388424741,21.556100131094254,1638.835756647778
2022-10-04 11:30:00,0.0,17.201,0.0,208.4,0.9557617664580544,0.0541976702526215,25.035734948745155,1903.380360011215
2022-10-04 12:00:00,0.0,19.436,0.0,280.3,1.2124814948335096,0.0804746831575143,26.42207193942783,2008.7787677601648
2022-10-04 12:30:00,0.0,20.746,0.0,280.3,1.415214001809097,0.0851112673420933,27.354467618437173,2079.665587213198
2022-10-04 13:00:00,0.0,21.676,0.0,320.4,1.5760370159942425,0.1011457006901047,27.49731370965954,2090.5256815980306
2022-10-04 13:30:00,0.0,22.465,0.0,320.4,1.6808369102508718,0.1044793854292192,27.028231882270795,2054.863012244892
2022-10-04 14:00:00,0.0,22.729,0.0,340.9,1.7411408790107532,0.1123639032496352,27.22423910566259,2069.764763688901
2022-10-04 14:30:00,0.0,23.352,0.0,340.9,1.9486013409821168,0.1152198899634115,27.27637281357259,2073.7283092342423
2022-10-04 15:00:00,0.0,22.992,0.0,310.4,1.8196348663205624,0.1034047334451003,27.432436070723877,2085.5932590425573
2022-10-04 15:30:00,0.0,23.809,0.0,310.4,2.047216569152318,0.1068387587180473,27.289397415360988,2074.718524671966
2022-10-04 16:00:00,0.0,19.96,0.5,178.0,1.380838630146143,0.1596226380200363,26.342433055952455,2002.724098823519
2022-10-04 16:30:00,0.0,19.151,0.5,178.0,1.23996215947026,0.147626476301467,25.511477631452017,1939.5494311623968
2022-10-04 17:00:00,0.0,18.319,0.5,109.4,1.160269984305509,0.1234223635321523,25.875164338217072,1967.1992739279856
2022-10-04 17:30:00,0.0,16.415,1.01,109.4,0.9111195895900966,0.1655905666423917,21.850794309115827,1661.2403360142016
2022-10-04 18:00:00,0.0,16.225,1.51,0.2,0.9130687557133744,0.0832202636431454,19.026286759655317,1446.502793563266
2022-10-04 18:30:00,0.0,15.031,1.01,0.2,0.7843175093858252,0.0622370532354118,15.525331834891022,1180.337296176304
2022-10-04 19:00:00,0.0,14.529,1.51,0.2,0.7527141660934,0.0693684150675362,12.32392011562649,936.9450329480472
2022-10-04 19:30:00,0.0,13.497,1.01,0.2,0.6652808648199554,0.0533808394801757,9.273898003496898,705.0623980778307
2022-10-04 20:00:00,0.0,13.281,0.5,0.2,0.6483480910637911,0.0368125948226766,6.856973692776378,521.3119999338505
2022-10-04 20:30:00,0.0,12.775,0.5,0.2,0.5962508707771634,0.0340024632331056,5.284221346179993,401.74107725865446
2022-10-04 21:00:00,0.0,12.122,1.01,0.2,0.5259659283475336,0.0426130165759738,3.773625322538921,286.89568489466603
2022-10-04 21:30:00,0.0,11.734,0.5,0.2,0.4864875547131064,0.0279889806689642,3.625698655319943,275.64933188434117
2022-10-04 22:00:00,0.0,11.637,1.01,0.2,0.4751619744700697,0.0386264129932736,3.0516874362404036,232.00924370403183
2022-10-04 22:30:00,0.0,11.297,1.51,0.2,0.4511943997852947,0.0424287239149564,2.3632016920693832,179.66605320909858
2022-10-04 23:00:00,0.0,11.029,1.51,0.2,0.4314009420627053,0.040633308291596,2.182017527003343,165.89124763467638
2022-10-04 23:30:00,0.0,10.834,1.01,0.2,0.4154557752861731,0.0339583009792141,2.0258103927198836,154.0153593454982
2022-10-05 00:00:00,0.0,10.638,1.01,0.2,0.4036594653003232,0.0330377501341293,1.906775139038162,144.9655206061686
2022-10-05 00:30:00,0.0,10.712,0.5,0.2,0.409518535110702,0.0237605790150102,1.7209540758609168,130.83818770173957
2022-10-05 01:00:00,0.0,10.051,1.01,0.2,0.3548636715753486,0.0291588798071869,1.6142299271073617,122.72431970096756
2022-10-05 01:30:00,0.0,10.051,0.5,0.2,0.3536315060490455,0.0206288273870257,1.5339260648781328,116.61909472901915
2022-10-05 02:00:00,0.0,9.829,0.0,0.2,0.3423373869605118,3.036082423802096e-05,1.3456720738234635,102.30679473060653
2022-10-05 02:30:00,0.0,9.534,0.0,0.2,0.3153869954026082,2.9902966050348084e-05,1.1561726330942246,87.89980749993123
2022-10-05 03:00:00,0.0,9.188,0.0,0.2,0.3034707250294841,2.9372021514339375e-05,1.3726412942209871,104.357171303715
2022-10-05 03:30:00,0.0,8.866,0.5,0.2,0.2867026710158679,0.0168829306164368,1.128998459275725,85.83384902691043
2022-10-05 04:00:00,0.0,8.394,0.0,0.2,0.2655574636249363,2.817832762851094e-05,1.0200423533406788,77.55029303925356
2022-10-05 04:30:00,0.0,8.245,0.0,0.2,0.2541567333696254,2.79581500579373e-05,0.8832590827591802,67.15113394382729
