Label,"Probe1 (9 in right)","Probe2 (3 in up) ","Probe3 (7 in down)","resistance","counter","Power"
Units,"m3.m-3","m3.m-3","m3.m-3","ohm","events","V"
8/14/2021 3:00:00 PM,0.037,0.016,0.051,#+INF,0,8.0
8/14/2021 4:00:00 PM,0.037,0.016,0.051,#+INF,0,8.0
8/14/2021 5:00:00 PM,0.037,0.016,0.051,#+INF,0,8.0
8/14/2021 6:00:00 PM,0.037,0.015,0.051,#+INF,0,8.0
8/14/2021 7:00:00 PM,0.037,0.015,0.051,#+INF,0,8.0
8/14/2021 8:00:00 PM,0.037,0.015,0.051,#+INF,0,8.0
8/14/2021 9:00:00 PM,0.037,0.015,0.051,#+INF,0,8.0
8/14/2021 10:00:00 PM,0.037,0.014,0.052,#+INF,0,8.0
8/14/2021 11:00:00 PM,0.037,0.014,0.052,#+INF,0,8.0
8/15/2021 12:00:00 AM,0.037,0.014,0.052,#+INF,0,8.0
8/15/2021 1:00:00 AM,0.037,0.014,0.052,#+INF,0,8.0
8/15/2021 2:00:00 AM,0.037,0.014,0.052,#+INF,0,8.0
8/15/2021 3:00:00 AM,0.037,0.014,0.051,#+INF,0,8.0
8/15/2021 4:00:00 AM,0.037,0.014,0.051,#+INF,0,7.9
8/15/2021 5:00:00 AM,0.037,0.013,0.051,#+INF,0,7.9
8/15/2021 6:00:00 AM,0.037,0.013,0.051,#+INF,0,7.9
8/15/2021 7:00:00 AM,0.037,0.013,0.051,#+INF,0,7.9
8/15/2021 8:00:00 AM,0.037,0.013,0.051,#+INF,0,7.9
8/15/2021 9:00:00 AM,0.037,0.013,0.051,#+INF,0,7.9
8/15/2021 10:00:00 AM,0.037,0.013,0.051,#+INF,0,8.0
8/15/2021 11:00:00 AM,0.037,0.014,0.051,#+INF,0,8.0
8/15/2021 12:00:00 PM,0.037,0.014,0.051,#+INF,0,8.0
8/15/2021 1:00:00 PM,0.037,0.014,0.051,#+INF,0,8.0
8/15/2021 2:00:00 PM,0.037,0.015,0.051,#+INF,0,8.0
8/15/2021 3:00:00 PM,0.037,0.015,0.051,#+INF,0,8.0
8/15/2021 4:00:00 PM,0.037,0.015,0.051,#+INF,0,8.0
8/15/2021 5:00:00 PM,0.037,0.015,0.051,#+INF,0,8.0
8/15/2021 6:00:00 PM,0.037,0.014,0.051,#+INF,0,8.0
8/15/2021 7:00:00 PM,0.037,0.014,0.051,#+INF,0,8.0
8/15/2021 8:00:00 PM,0.037,0.014,0.051,#+INF,0,8.0
8/15/2021 9:00:00 PM,0.037,0.013,0.051,#+INF,0,8.0
8/15/2021 10:00:00 PM,0.037,0.013,0.051,#+INF,0,8.0
8/15/2021 11:00:00 PM,0.037,0.013,0.051,#+INF,0,8.0
8/16/2021 12:00:00 AM,0.037,0.013,0.051,#+INF,0,8.0
8/16/2021 1:00:00 AM,0.037,0.013,0.051,#+INF,0,8.0
8/16/2021 2:00:00 AM,0.037,0.013,0.051,#+INF,0,8.0
8/16/2021 3:00:00 AM,0.037,0.013,0.051,#+INF,0,8.0
8/16/2021 4:00:00 AM,0.037,0.013,0.051,#+INF,0,8.0
8/16/2021 5:00:00 AM,0.037,0.013,0.051,#+INF,0,8.0
8/16/2021 6:00:00 AM,0.037,0.013,0.051,#+INF,0,7.9
8/16/2021 7:00:00 AM,0.037,0.012,0.051,#+INF,0,7.9
8/16/2021 8:00:00 AM,0.037,0.012,0.051,#+INF,0,7.9
8/16/2021 9:00:00 AM,0.037,0.012,0.051,#+INF,0,7.9
8/16/2021 10:00:00 AM,0.037,0.012,0.051,#+INF,0,7.9
8/16/2021 11:00:00 AM,0.037,0.013,0.051,#+INF,0,8.0
8/16/2021 12:00:00 PM,0.037,0.013,0.051,#+INF,0,7.9
8/16/2021 1:00:00 PM,0.037,0.012,0.051,#+INF,0,7.9
8/16/2021 2:00:00 PM,0.037,0.012,0.051,#+INF,0,7.9
8/16/2021 3:00:00 PM,0.037,0.012,0.051,#+INF,0,7.9
8/16/2021 4:00:00 PM,0.037,0.012,0.051,#+INF,0,7.9
8/16/2021 5:00:00 PM,0.037,0.012,0.051,#+INF,0,7.9
