z6B00122,Port1,,,Port2,,,Port3,,,Port7,
# Records: 9289,GS3 Moisture/Temp/EC,,,GS3 Moisture/Temp/EC,,,GS3 Moisture/Temp/EC,,,Battery,
Timestamps, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC,% Battery Percent, mV Battery Voltage
,,,,,,,,,,,
2020-09-29 21:45,0.311,22.2,0.822,0.241,22,0.898,0.241,22,0.649,100,9671
2020-09-29 22:45,0.221,22.8,0.129,0.093,30.1,0,0.076,24.7,0,100,9661
2020-09-29 23:45,0.221,20.3,0.129,0.091,25.7,0,0.076,22.8,0,100,9652
2020-09-30 0:45,0.223,17.2,0.133,0.091,19.5,0,0.077,20.3,0,100,9643
2020-09-30 1:45,0.223,15.2,0.133,0.092,16.8,0,0.078,18.4,0,100,9633
2020-09-30 2:45,0.224,14,0.132,0.092,15.3,0,0.078,16.9,0,100,9630
2020-09-30 3:45,0.224,13.2,0.131,0.092,14.5,0,0.078,15.9,0,100,9633
2020-09-30 4:45,0.224,13.3,0.13,0.092,14.3,0,0.078,15.4,0,100,9631
2020-09-30 5:45,0.223,13.2,0.129,0.092,14.3,0,0.078,15.2,0,100,9630
2020-09-30 6:45,0.223,12.6,0.131,0.092,14,0,0.078,14.7,0,100,9629
2020-09-30 7:45,0.223,12.4,0.128,0.092,13.7,0,0.078,14.3,0,100,9626
2020-09-30 8:45,0.223,12,0.128,0.092,13.5,0,0.078,14,0,100,9633
2020-09-30 9:45,0.224,11.4,0.128,0.092,12.9,0,0.078,13.5,0,100,9628
2020-09-30 10:45,0.224,10.5,0.13,0.092,11.9,0,0.079,12.5,0,100,9624
2020-09-30 11:45,0.224,10.2,0.129,0.092,11.6,0,0.078,12,0,100,9625
2020-09-30 12:45,0.224,10.2,0.128,0.092,11.5,0,0.078,11.6,0,100,9624
2020-09-30 13:45,0.224,10.1,0.127,0.092,11.4,0,0.079,11.3,0,100,9626
2020-09-30 14:45,0.224,10.1,0.126,0.092,11.4,0,0.079,11.1,0,100,9626
2020-09-30 15:45,0.224,10.2,0.125,0.092,11.5,0,0.079,11.2,0,100,9624
2020-09-30 16:45,0.223,10.8,0.124,0.092,11.8,0,0.079,11.4,0,100,9626
2020-09-30 17:45,0.223,11.6,0.121,0.091,12.3,0,0.079,11.8,0,100,9626
2020-09-30 18:45,0.222,12.9,0.119,0.091,13.6,0,0.079,12.8,0,100,9626
2020-09-30 19:45,0.22,15.1,0.114,0.09,16.9,0,0.079,14.6,0,100,9626
2020-09-30 20:45,0.217,19,0.111,0.09,26.7,0,0.077,19.7,0,100,9630
2020-09-30 21:45,0.215,21,0.111,0.089,30.7,0,0.076,22.7,0,100,9626
2020-09-30 22:45,0.215,19.2,0.115,0.088,30.4,0,0.075,23.3,0,100,9626
2020-09-30 23:45,0.215,17.8,0.117,0.086,26.3,0,0.075,22,0,100,9623
2020-10-01 0:45,0.216,15,0.121,0.086,18.1,0,0.076,18.8,0,100,9616
2020-10-01 1:45,0.217,13,0.122,0.086,14.9,0,0.076,16.5,0,100,9612
2020-10-01 2:45,0.218,11.6,0.121,0.086,13.2,0,0.077,15,0,100,9612
2020-10-01 3:45,0.219,10.5,0.122,0.087,12.1,0,0.077,13.9,0,100,9612
2020-10-01 4:45,0.219,9.7,0.123,0.087,11.4,0,0.077,13,0,100,9613
2020-10-01 5:45,0.219,9,0.122,0.087,10.8,0,0.077,12.2,0,100,9613
2020-10-01 6:45,0.219,8.6,0.121,0.087,10.5,0,0.077,11.5,0,100,9616
2020-10-01 7:45,0.22,8.2,0.121,0.087,10.2,0,0.077,10.9,0,100,9611
2020-10-01 8:45,0.22,8,0.118,0.088,9.9,0,0.077,10.5,0,100,9610
2020-10-01 9:45,0.22,8,0.117,0.088,10.1,0,0.077,10.2,0,100,9611
2020-10-01 10:45,0.22,8.3,0.117,0.088,10.2,0,0.077,10.2,0,100,9611
2020-10-01 11:45,0.219,8.7,0.115,0.088,10.4,0,0.078,10.1,0,100,9611
2020-10-01 12:45,0.219,9.4,0.113,0.087,11,0,0.078,10.3,0,100,9611
2020-10-01 13:45,0.218,9.8,0.113,0.087,11.4,0,0.078,10.6,0,100,9611
2020-10-01 14:45,0.218,9.9,0.112,0.087,11.6,0,0.078,10.8,0,100,9609
2020-10-01 15:45,0.217,10.9,0.11,0.087,12.1,0,0.078,11.2,0,100,9617
2020-10-01 16:45,0.216,12.6,0.105,0.086,13.3,0,0.078,12,0,100,9609
2020-10-01 17:45,0.215,14.2,0.104,0.086,14.6,0,0.079,13.4,0,100,9614
2020-10-01 18:45,0.213,15.6,0.101,0.086,15.7,0,0.078,14.6,0,100,9611
2020-10-01 19:45,0.212,17.6,0.099,0.085,18.4,0,0.078,16.2,0,100,9612
2020-10-01 20:45,0.209,19.8,0.096,0.085,22.1,0,0.076,19.2,0,100,9614
2020-10-01 21:45,0.207,22.9,0.094,0.084,27.9,0,0.075,22.3,0,100,9618
2020-10-01 22:45,0.207,20.6,0.098,0.083,28.1,0,0.074,22.9,0,100,9616
2020-10-01 23:45,0.207,20.4,0.097,0.082,27.8,0,0.074,23.4,0,100,9613
2020-10-02 0:45,0.208,17.9,0.102,0.081,20.7,0,0.075,21.2,0,100,9602
2020-10-02 1:45,0.209,15.8,0.104,0.081,17.7,0,0.076,19,0,100,9602
2020-10-02 2:45,0.209,14.6,0.105,0.081,16.3,0,0.076,17.6,0,100,9599
2020-10-02 3:45,0.21,13.7,0.103,0.081,15.2,0,0.076,16.4,0,100,9596
2020-10-02 4:45,0.21,12.8,0.103,0.08,14.4,0,0.076,15.6,0,100,9599
2020-10-02 5:45,0.21,12.3,0.104,0.081,13.9,0,0.076,14.8,0,100,9596
2020-10-02 6:45,0.21,12,0.102,0.081,13.5,0,0.076,14.2,0,100,9597
2020-10-02 7:45,0.21,11.7,0.102,0.08,13.2,0,0.076,13.8,0,100,9596
2020-10-02 8:45,0.211,11,0.102,0.08,12.8,0,0.076,13.3,0,100,9598
2020-10-02 9:45,0.211,10.2,0.103,0.08,12.2,0,0.076,12.7,0,100,9595
2020-10-02 10:45,0.211,9.7,0.102,0.08,11.8,0,0.076,12.1,0,100,9594
2020-10-02 11:45,0.212,9.2,0.103,0.08,11.4,0,0.076,11.6,0,100,9597
2020-10-02 12:45,0.212,8.8,0.103,0.08,11.1,0,0.076,11.1,0,100,9594
2020-10-02 13:45,0.212,8.4,0.102,0.08,10.7,0,0.076,10.7,0,100,9593
2020-10-02 14:45,0.212,8.4,0.103,0.08,10.6,0,0.076,10.4,0,100,9593
2020-10-02 15:45,0.212,8.5,0.102,0.08,10.6,0,0.076,10.3,0,100,9593
2020-10-02 16:45,0.212,8.8,0.099,0.08,11,0,0.076,10.4,0,100,9592
2020-10-02 17:45,0.211,10.3,0.096,0.08,12.2,0,0.077,14.6,0,100,9594
2020-10-02 18:45,0.208,14.2,0.09,0.08,17.9,0,0.076,19,0,100,9595
2020-10-02 19:45,0.205,19,0.085,0.08,26.5,0,0.075,21,0,100,9595
2020-10-02 20:45,0.201,22.5,0.086,0.079,30.7,0,0.073,24.7,0,100,9598
2020-10-02 21:45,0.199,24.2,0.088,0.078,33.6,0,0.073,26.8,0,100,9597
2020-10-02 22:45,0.2,22.2,0.092,0.076,33.2,0,0.072,27.1,0,100,9595
2020-10-02 23:45,0.201,20.1,0.093,0.075,26.5,0,0.072,25,0,100,9590
2020-10-03 0:45,0.202,17.6,0.095,0.074,20.2,0,0.073,21.8,0,100,9585
2020-10-03 1:45,0.203,15.4,0.096,0.074,17.2,0,0.074,19.3,0,100,9582
2020-10-03 2:45,0.204,13.8,0.096,0.074,15.4,0,0.074,17.6,0,100,9583
2020-10-03 3:45,0.205,12.7,0.096,0.074,14.2,0,0.074,16.4,0,100,9582
2020-10-03 4:45,0.205,11.9,0.097,0.074,13.5,0,0.075,15.4,0,100,9582
2020-10-03 5:45,0.206,11,0.097,0.075,12.9,0,0.075,14.5,0,100,9582
2020-10-03 6:45,0.206,10.4,0.096,0.075,12.4,0,0.075,13.8,0,100,9581
2020-10-03 7:45,0.206,9.8,0.095,0.075,12,0,0.075,13,0,100,9579
2020-10-03 8:45,0.207,9.3,0.094,0.075,11.6,0,0.075,12.4,0,100,9580
2020-10-03 9:45,0.207,9,0.093,0.075,11.2,0,0.075,11.8,0,100,9579
2020-10-03 10:45,0.207,8.6,0.094,0.075,10.9,0,0.075,11.4,0,100,9578
2020-10-03 11:45,0.207,8.2,0.093,0.075,10.6,0,0.075,10.9,0,100,9580
2020-10-03 12:45,0.208,8,0.095,0.075,10.4,0,0.075,10.4,0,100,9573
2020-10-03 13:45,0.208,7.7,0.094,0.075,10.2,0,0.075,10.1,0,100,9576
2020-10-03 14:45,0.208,7.7,0.094,0.075,10.1,0,0.075,9.8,0,100,9579
2020-10-03 15:45,0.208,7.9,0.092,0.075,10.2,0,0.075,9.7,0,100,9578
2020-10-03 16:45,0.207,8.7,0.091,0.075,10.9,0,0.076,10,0,100,9580
2020-10-03 17:45,0.206,10.3,0.086,0.075,12.3,0,0.076,14.4,0,100,9579
2020-10-03 18:45,0.203,14.7,0.08,0.075,18.4,0,0.075,19.4,0,100,9581
2020-10-03 19:45,0.199,20.4,0.076,0.075,27.8,0,0.074,21.9,0,100,9579
2020-10-03 20:45,0.195,25.1,0.074,0.074,33.4,0,0.072,27,0,100,9582
2020-10-03 21:45,0.193,27.1,0.076,0.073,35.9,0,0.071,29.1,0,100,9582
2020-10-03 22:45,0.193,24.2,0.081,0.072,35.8,0,0.071,28.7,0,100,9579
2020-10-03 23:45,0.195,21.8,0.082,0.07,30.9,0,0.071,27.1,0,100,9575
2020-10-04 0:45,0.196,19.1,0.083,0.068,22.5,0,0.072,23.6,0,100,9572
2020-10-04 1:45,0.197,17.5,0.083,0.068,19.6,0,0.073,21.4,0,100,9568
2020-10-04 2:45,0.197,17.6,0.081,0.068,19,0,0.073,20.2,0,100,9574
2020-10-04 3:45,0.197,16.5,0.081,0.068,18.1,0,0.073,19.6,0,100,9571
2020-10-04 4:45,0.197,15.6,0.081,0.068,17.3,0,0.073,18.7,0,100,9572
2020-10-04 5:45,0.198,14.8,0.078,0.068,16.5,0,0.073,18,0,100,9569
2020-10-04 6:45,0.198,14.2,0.08,0.067,15.9,0,0.073,17.2,0,100,9566
2020-10-04 7:45,0.198,13.8,0.079,0.068,15.6,0,0.073,16.6,0,100,9566
2020-10-04 8:45,0.198,13.6,0.079,0.067,15.4,0,0.073,16.1,0,100,9566
2020-10-04 9:45,0.198,13.5,0.079,0.067,15.2,0,0.073,15.8,0,100,9566
2020-10-04 10:45,0.198,13,0.081,0.067,14.9,0,0.073,15.4,0,100,9566
2020-10-04 11:45,0.198,13,0.08,0.067,14.8,0,0.073,15.1,0,100,9563
2020-10-04 12:45,0.198,12.6,0.081,0.067,14.5,0,0.073,14.8,0,100,9566
2020-10-04 13:45,0.199,11.4,0.083,0.067,13.6,0,0.073,14.1,0,100,9561
2020-10-04 14:45,0.199,11.7,0.079,0.067,13.5,0,0.073,13.6,0,100,9560
2020-10-04 15:45,0.198,12.9,0.078,0.067,14.3,0,0.073,14.1,0,100,9563
2020-10-04 16:45,0.197,13.9,0.077,0.067,14.9,0,0.073,14.5,0,100,9563
2020-10-04 17:45,0.196,15.2,0.074,0.067,15.7,0,0.073,15.3,0,100,9563
2020-10-04 18:45,0.194,17.5,0.071,0.067,17.8,0,0.073,16.6,0,100,9563
2020-10-04 19:45,0.194,17.9,0.07,0.067,17.8,0,0.073,17.4,0,100,9561
2020-10-04 20:45,0.193,17.5,0.07,0.067,17.7,0,0.073,17.3,0,100,9557
2020-10-04 21:45,0.193,17.5,0.071,0.066,17.9,0,0.073,17.3,0,100,9559
