TOA5,CR1000,CR1000,70315
TIMESTAMP,RECORD,NR_Wm2,NR_Wm2_Avg
TS,RN,W/meter^2,W/meter^2
,,Smp,Avg
2021-06-24 12:00,7181,335,285.2
2021-06-24 13:00,7182,141.6,230.8
2021-06-24 14:00,7183,1036,1070
2021-06-24 15:00,7184,321.7,763.3
2021-06-24 16:00,7185,804,541.4
2021-06-24 17:00,7186,94.1,185.4
2021-06-24 18:00,7187,43.71,99.4
2021-06-24 19:00,7188,52.12,33.46
2021-06-24 20:00,7189,13.79,25.55
2021-06-24 21:00,7190,-40.69,-65.73
2021-06-24 22:00,7191,-61.55,-63.22
2021-06-24 23:00,7192,-61.55,-71.98
2021-06-25 0:00,7193,-87.8,-80
2021-06-25 1:00,7194,-93.8,-93.7
2021-06-25 2:00,7195,-89.5,-90.8
2021-06-25 3:00,7196,-71.64,-78.53
2021-06-25 4:00,7197,-87.8,-81.4
2021-06-25 5:00,7198,-62.23,-71.31
2021-06-25 6:00,7199,-68.63,-72.5
2021-06-25 7:00,7200,-57.53,-61.57
2021-06-25 8:00,7201,-52.15,-52.65
2021-06-25 9:00,7202,-38.69,-43.57
2021-06-25 10:00,7203,-54.49,-51.12
2021-06-25 11:00,7204,803,777.4
2021-06-25 12:00,7205,884,893
2021-06-25 13:00,7206,935,965
2021-06-25 14:00,7207,999,984
2021-06-25 15:00,7208,880,905
2021-06-25 16:00,7209,713.6,777
2021-06-25 17:00,7210,630.9,422.5
2021-06-25 18:00,7211,170.1,124.9
2021-06-25 19:00,7212,202,134.3
2021-06-25 20:00,7213,28.91,-20.17
2021-06-25 21:00,7214,-91.1,-102.4
2021-06-25 22:00,7215,-93.8,-92.5
2021-06-25 23:00,7216,-85.4,-88.6
2021-06-26 0:00,7217,-83.4,-83.9
2021-06-26 1:00,7218,-59.18,-71.79
2021-06-26 2:00,7219,-61.55,-65.25
2021-06-26 3:00,7220,-70.3,-72.32
2021-06-26 4:00,7221,-47.09,-54.83
2021-06-26 5:00,7222,-51.13,-54.66
2021-06-26 6:00,7223,-22.2,-39.69
2021-06-26 7:00,7224,-0.336,-5.213
2021-06-26 8:00,7225,-53.15,-27.08
2021-06-26 9:00,7226,-24.56,-36.16
2021-06-26 10:00,7227,-36.66,-32.29
2021-06-26 11:00,7228,698.4,658.4
2021-06-26 12:00,7229,908,887
2021-06-26 13:00,7230,927,911
2021-06-26 14:00,7231,920,908
2021-06-26 15:00,7232,905,917
2021-06-26 16:00,7233,741.9,762
2021-06-26 17:00,7234,626.8,594.4
2021-06-26 18:00,7235,298.5,382
2021-06-26 19:00,7236,165.7,203
2021-06-26 20:00,7237,10.76,52.6
2021-06-26 21:00,7238,-96.5,-111.4
2021-06-26 22:00,7239,-98.2,-97.7
2021-06-26 23:00,7240,-90.5,-92.3
2021-06-27 0:00,7241,-91.5,-87.6
2021-06-27 1:00,7242,-87.8,-85.6
2021-06-27 2:00,7243,-82.4,-83.6
2021-06-27 3:00,7244,-81,-81.5
2021-06-27 4:00,7245,-78.01,-77.51
2021-06-27 5:00,7246,-79.02,-78.35
2021-06-27 6:00,7247,-70.98,-74
2021-06-27 7:00,7248,-59.88,-64.25
2021-06-27 8:00,7249,-53.82,-56.51
2021-06-27 9:00,7250,-36.67,-43.39
2021-06-27 10:00,7251,-42.03,-40.69
2021-06-27 11:00,7252,749.5,697.6
2021-06-27 12:00,7253,854,843
2021-06-27 13:00,7254,822,852
2021-06-27 14:00,7255,844,857
2021-06-27 15:00,7256,788.1,771
2021-06-27 16:00,7257,608.7,678.9
2021-06-27 17:00,7258,456.2,488.1
2021-06-27 18:00,7259,330.4,366.8
2021-06-27 19:00,7260,176.8,228.1
2021-06-27 20:00,7261,7.395,38.15
2021-06-27 21:00,7262,-97.2,-106.4
2021-06-27 22:00,7263,-99.8,-98.5
2021-06-27 23:00,7264,-94.8,-96
2021-06-28 0:00,7265,-90.8,-92.5
2021-06-28 1:00,7266,-90.1,-90.6
2021-06-28 2:00,7267,-87.1,-88.3
2021-06-28 3:00,7268,-86.8,-86.6
