,Rain,Temp,WS,NR,VPD,PET,Sap velocity (cm/h),Total SF (cm3/h)
2021-06-22 15:00:00,0.0,26.378,1.51,668.6,2.5676530340540302,0.6885899973161193,12.186834348097767,926.5228760556922
2021-06-22 15:30:00,0.0,25.404,1.01,668.6,2.427120045926513,0.5444753145680215,11.285711524651825,858.0136236763916
2021-06-22 16:00:00,0.0,27.014,1.01,796.3,2.7118848849560773,0.6308247450266727,11.38892427337827,865.8605320747622
2021-06-22 16:30:00,0.0,27.431,1.01,796.3,2.80818493384492,0.6457847231272484,11.30293540435176,859.3230956935371
2021-06-22 17:00:00,0.0,27.751,1.51,93.4,2.879790385476123,0.5675323188285019,11.251237564701206,855.3926877048231
2021-06-22 17:30:00,0.0,28.642,1.01,93.4,3.079985100022321,0.4411366924737644,11.594417127071232,881.4834431913158
2021-06-22 18:00:00,0.0,26.744,1.01,98.1,2.6867885887274143,0.3988510392436937,10.729872379863531,815.7550954693538
2021-06-22 18:30:00,0.0,27.308,1.51,98.1,2.84613431471839,0.5656325670657423,10.991560183655064,835.6503143319516
2021-06-22 19:00:00,0.0,26.94,1.51,240.7,2.7569799981188403,0.5946407977835017,11.026299088436785,838.2913931429069
2021-06-22 19:30:00,0.0,26.109,1.01,240.7,2.594883587124092,0.4341781101734344,10.342338654841361,786.2922463634939
2021-06-22 20:00:00,0.0,25.331,1.51,26.89,2.458618626711975,0.4832264295182219,9.607855365914991,730.4520215903455
2021-06-22 20:30:00,0.0,25.04,2.01,26.89,2.381499862943365,0.5810308302321889,8.930657424274306,678.9670036910204
2021-06-22 21:00:00,0.0,24.122,2.01,0.2,2.2122965671916597,0.2081716159790633,7.66710490997338,582.9034751192851
2021-06-22 21:30:00,0.0,23.28,1.01,0.2,2.0630213010047607,0.1531577424560858,5.743331610751024,436.6456431702637
2021-06-22 22:00:00,0.0,22.609,0.5,0.2,1.948011544174702,0.1010318194140792,4.596674659069649,349.46928002498873
2021-06-22 22:30:00,0.0,21.485,0.5,0.2,1.752453837598459,0.0919895799741922,3.4487668603199824,262.1978193022695
2021-06-22 23:00:00,0.0,21.557,0.0,0.2,1.8168043240425165,5.235521315189547e-05,2.868956097558364,218.11681186937602
2021-06-22 23:30:00,0.0,20.579,0.0,0.2,1.660038814647833,5.02511739356622e-05,2.3004063538417303,174.8919407763111
2021-06-23 00:00:00,0.0,22.082,0.5,0.2,1.9105084801856465,0.0996504520608503,2.1175050951703214,160.98659051241003
2021-06-23 00:30:00,0.0,21.437,0.5,0.2,1.8162857759844817,0.0953872459946897,1.88508892139346,143.3167924648794
2021-06-23 01:00:00,0.0,20.627,0.5,0.2,1.6868309047873555,0.0893407933513779,1.650785983503596,125.50355026585828
2021-06-23 01:30:00,0.0,18.747,0.0,0.2,1.3994276877794307,4.6434215942316935e-05,2.094347339849898,159.22598644989384
2021-06-23 02:00:00,0.0,17.748,0.5,0.2,1.2656316421678364,0.0689861442486866,1.4856313534565901,112.94741481227756
2021-06-23 02:30:00,0.0,16.796,1.01,0.2,1.1381278909412067,0.0891211176022321,1.2241661953710878,93.06912293284876
2021-06-23 03:00:00,0.0,15.939,1.01,0.2,1.0378257483900617,0.0817961543675793,1.2480346614343643,94.88375987566045
2021-06-23 03:30:00,0.0,15.151,1.01,0.2,0.9247116152194844,0.0733100695092391,1.0324972775165944,78.49719785792175
2021-06-23 04:00:00,0.0,14.074,1.01,0.2,0.8079677986431247,0.064560078795576,1.176369404914334,89.43529822535733
2021-06-23 04:30:00,0.0,13.666,1.51,0.2,0.7743202742956363,0.0717513595354053,0.8878957003067406,67.5036399435504
2021-06-23 05:00:00,0.0,13.137,1.51,0.2,0.7208645073345,0.0670206079667434,0.7182600454328362,54.606827666792604
2021-06-23 05:30:00,0.0,13.882,0.5,0.2,0.6948452071818323,0.0392468816857357,0.8878957003067406,67.5036399435504
2021-06-23 06:00:00,0.0,13.69,0.5,0.2,0.6251244127553303,0.0353698981757942,1.4619601112230707,111.14777211528506
2021-06-23 06:30:00,0.0,13.329,0.0,0.2,0.5662149539982966,3.615716633737405e-05,2.690526649016229,204.55143786705406
2021-06-23 07:00:00,0.0,13.882,0.5,15.47,0.620284191799307,0.0574745081563526,3.474344221833168,264.14237765714796
2021-06-23 07:30:00,0.0,14.218,0.0,15.47,0.6712434636720176,0.0035026634658019,4.601850748022411,349.8628001702742
2021-06-23 08:00:00,0.0,14.29,0.0,57.86,0.6988148274920568,0.0131455046758661,5.275220432350098,401.05676890337554
2021-06-23 08:30:00,0.0,14.84,0.0,57.86,0.7646000131812175,0.013492807629255,6.439037009814293,489.53771906265376
2021-06-23 09:00:00,0.0,15.031,0.5,112.0,0.7723562401795055,0.0906378174953654,7.580103058485583,576.2890251842019
2021-06-23 09:30:00,0.0,15.127,1.01,112.0,0.782299618291085,0.1463622128227567,8.116537328019582,617.072267823506
2021-06-23 10:00:00,0.0,15.867,1.01,43.71,0.8383473056241729,0.1411332437414758,8.904713078900855,676.9945448221965
2021-06-23 10:30:00,0.0,17.605,1.01,43.71,1.0408664624253394,0.1705202147903233,10.230829680701598,777.8146046334969
2021-06-23 11:00:00,0.0,18.699,0.5,814.0,1.1774310500863352,0.3028541706375537,11.005262327431474,836.6920409442305
2021-06-23 11:30:00,0.0,19.936,1.01,814.0,1.329878153015389,0.3987244444139194,11.368700057891477,864.3229549022524
2021-06-23 12:00:00,0.0,20.055,2.01,673.6,1.3162485916007531,0.4793523443446219,11.230706042828192,853.8317470903678
2021-06-23 12:30:00,0.0,19.817,2.52,673.6,1.3039248765099072,0.5227575579402156,11.385910031030708,865.6313696516734
2021-06-23 13:00:00,0.0,20.841,2.52,910.0,1.4210468519558137,0.6077575946801154,11.796369407624198,896.8371767745697
2021-06-23 13:30:00,0.0,19.888,2.01,910.0,1.3212855693928185,0.5297013538383517,11.385910031030708,865.6313696516734
2021-06-23 14:00:00,0.0,20.103,2.01,120.7,1.3225162485632058,0.3641653853359972,11.196119816389151,851.2022758858777
2021-06-23 14:30:00,0.0,19.246,1.51,120.7,1.2071572881294184,0.2788790265175038,9.674201443723176,735.4960844757533
2021-06-23 15:00:00,0.0,18.961,0.0,102.5,1.163979911506271,0.0288259800329772,8.569280725781994,651.4927828669005
2021-06-23 15:30:00,0.0,18.866,0.0,102.5,1.1244107092554363,0.0287064173731422,7.791925033894703,592.3931175401049
2021-06-23 16:00:00,0.0,18.628,0.0,28.24,1.0756025282207724,0.0078267798939422,6.955693326598821,528.8173123422868
2021-06-23 16:30:00,0.0,19.865,0.0,28.24,1.198825690478294,0.0082591764061762,8.849048445602802,672.7625552287755
2021-06-23 17:00:00,0.0,19.46,0.0,40.34,1.1532381591116012,0.0115937359774121,8.51303521344856,647.216631048973
2021-06-23 17:30:00,0.0,19.484,0.0,40.34,1.152695198276823,0.0116057852442442,8.362565110353694,635.7769094036539
2021-06-23 18:00:00,0.0,19.508,0.0,66.57,1.1385396807553625,0.0191720303007537,7.541437463386249,573.3494136860419
2021-06-23 18:30:00,0.0,19.151,0.0,66.57,1.0780350796109954,0.0188772640678806,6.975395019192449,530.3151639060001
2021-06-23 19:00:00,0.0,19.151,0.0,27.24,1.0735987212586868,0.0077244505514356,6.738151771112704,512.2783800901973
2021-06-23 19:30:00,0.0,19.27,0.0,27.24,1.081585638953566,0.0077645410403384,7.56077616351489,574.8196681877915
2021-06-23 20:00:00,0.0,19.151,0.0,0.672,1.053635108673298,0.0001905591325464,7.444566233556175,565.9846290417654
2021-06-23 20:30:00,0.0,18.295,0.0,0.672,0.9503686473835696,0.0001835292864565,6.559028240679051,498.66023744164784
2021-06-23 21:00:00,0.0,17.701,0.0,0.2,0.8446351144927782,4.433017971344391e-05,5.729655296808964,435.60588031097643
2021-06-23 21:30:00,0.0,16.892,0.0,0.2,0.7390106409598737,4.274146575667647e-05,4.9193599369414995,374.0019259258764
2021-06-23 22:00:00,0.0,16.511,0.5,0.2,0.7382465550559608,0.040722960160587,4.108394655303943,312.34703970504046
2021-06-23 22:30:00,0.0,15.533,0.0,0.2,0.6794298952062822,4.014993106171798e-05,3.3414501788111886,254.0389030849665
2021-06-23 23:00:00,0.0,15.031,0.0,0.2,0.6595785590913477,3.921747894829718e-05,2.690526649016229,204.55143786705406
2021-06-23 23:30:00,0.0,14.673,0.5,0.2,0.6228257435728831,0.0349377053187349,2.279093267668342,173.27158053057815
2021-06-24 00:00:00,0.0,14.218,0.0,0.2,0.5901754125038995,3.773608560441656e-05,2.049199259177203,155.7935339886204
