Date,Rain,Temp,WS,NR,VPD,PET,Sap velocity (cm/h),Total SF (cm3/h)
2021-06-14 06:00:00,0.0,11.394,1.01,0.2,0.332830563198934,0.0271048609334145,-0.0637482030635874,-2.0427630415259874
2021-06-14 06:30:00,0.0,11.856,1.01,0.2,0.3820579216143086,0.0310141204193439,0.208534335115861,6.6823253392564474
2021-06-14 07:00:00,0.0,11.686,1.01,0.2,0.3626796343764019,0.0294759475059881,0.2987231491808159,9.57235779942131
2021-06-14 07:30:00,0.0,11.565,0.5,0.2,0.3352577451552196,0.0193211084816265,0.3886294379869894,12.453336950956276
2021-06-14 08:00:00,0.0,11.71,0.5,0.2,0.3219764143649653,0.0185343929317665,0.5080685654731519,16.280673622665642
2021-06-14 08:30:00,0.0,12.364,0.0,0.2,0.3404706815108791,3.449201241240149e-05,0.6863029101708376,21.99205864344596
2021-06-14 09:00:00,0.0,14.577,0.0,0.2,0.5559175139999532,3.838583573054792e-05,1.2144982208440402,38.917678621695366
2021-06-14 09:30:00,0.0,15.461,0.0,0.2,0.6376543443002536,4.001536470236865e-05,1.185405468522548,37.98542333664312
2021-06-14 10:00:00,0.0,17.13,0.0,0.2,0.8049453197129187,4.320531800140154e-05,1.618768329961029,51.87220907134768
2021-06-14 10:30:00,0.0,20.079,0.0,0.2,1.097328907746293,4.9193106149863064e-05,1.9325228154071303,61.92623469373252
2021-06-14 11:00:00,0.0,21.867,0.5,854.0,1.3506254717118975,0.3544689375445458,2.963941600117462,94.97727099730147
2021-06-14 11:30:00,0.0,23.184,0.0,854.0,1.5539484496095008,0.2867033004343551,3.2094819431149433,102.84542592205368
2021-06-14 12:00:00,0.0,24.074,1.01,862.0,1.675432933485966,0.4898561966409245,3.3720576735463696,108.05504246988238
2021-06-14 12:30:00,0.0,25.404,1.51,862.0,1.9176844213135953,0.6173215100778136,4.066521245555629,130.3086033611845
2021-06-14 13:00:00,0.0,26.451,1.51,821.0,2.119592293842801,0.6488940242512844,3.9872055369995674,127.7669913585818
2021-06-14 13:30:00,0.0,26.965,2.01,821.0,2.2415562630306853,0.7603408325288925,3.854546475466792,123.51603188051826
2021-06-14 14:00:00,0.0,27.776,2.01,898.0,2.328087401032754,0.8050496790441706,3.34502318617488,107.18874273130002
2021-06-14 14:30:00,0.0,28.048,2.52,898.0,2.4069722760800136,0.9048875113567868,3.5606171260672954,114.09728777608984
2021-06-14 15:00:00,0.0,27.751,2.52,26.55,2.3619496822663155,0.6520951648296037,3.263772417056455,104.5851231738182
2021-06-14 15:30:00,0.0,26.744,2.01,26.55,2.149430870981932,0.5139067933807183,3.1550923275434197,101.10255175160074
2021-06-14 16:00:00,0.0,28.345,2.01,26.89,2.4836042999349104,0.5804121237451542,3.236639545595157,103.71567079135136
2021-06-14 16:30:00,0.0,28.766,2.01,26.89,2.5291696652855307,0.587579204691545,2.382977971400587,76.36073010390751
2021-06-14 17:00:00,0.0,27.53,2.01,0.2,2.2654707442462363,0.2079946701363302,3.34502318617488,107.18874273130002
2021-06-14 17:30:00,0.0,27.554,1.51,0.2,2.2796983635918577,0.1909674009653853,4.277015704268651,137.05373938134923
2021-06-14 18:00:00,0.0,28.742,2.01,447.1,2.5098724374986054,0.7118615155811372,3.1278602052381066,100.22991895076524
2021-06-14 18:30:00,0.0,27.776,2.52,447.1,2.2721237615848513,0.7433528548331989,4.01366731781122,128.61493914780945
2021-06-14 19:00:00,0.0,27.284,2.52,297.8,2.1424795451312653,0.6689624684339726,2.771551999276366,88.81229147968101
2021-06-14 19:30:00,0.0,25.355,2.01,297.8,1.740636231947264,0.4971229288725511,3.2094819431149433,102.84542592205368
2021-06-14 20:00:00,0.0,24.436,0.5,0.2,1.3354255934665242,0.0678854852120123,1.4750300258226678,47.26622362807827
2021-06-14 20:30:00,0.0,23.809,0.0,0.2,1.5073885689291564,5.736617199207865e-05,2.716353284393567,87.04349033261433
2021-06-14 21:00:00,0.0,21.915,0.0,0.2,1.328283442306215,5.313657848150259e-05,2.102254365919138,67.36515409387597
2021-06-14 21:30:00,0.0,21.103,0.0,0.2,1.1037275442780388,5.137288194344144e-05,1.6474311407329636,52.790687204021594
2021-06-14 22:00:00,0.0,19.627,0.5,0.2,1.0121809652390945,0.0541687498928298,1.532610461789961,49.1113452292568
2021-06-14 22:30:00,0.0,18.557,0.5,0.2,0.9276283101578464,0.0501751498533203,1.0979516978757962,35.18303327803898
2021-06-14 23:00:00,0.0,17.962,0.5,0.2,0.8400976436918014,0.0457062552641108,0.9516061847383712,30.49350179066368
2021-06-14 23:30:00,0.0,17.486,0.0,0.2,0.7473343590937994,4.390465078696816e-05,0.8045164909166646,25.780123595067423
2021-06-15 00:00:00,0.0,16.606,0.0,0.2,0.6255479064429377,4.218798386732919e-05,0.4975760058072117,15.944447469354165
