Date,Rain,Temp,WS,NR,VPD,PET,Sap velocity (cm/h),Total SF (cm3/h)
2021-07-06 15:00:00,0.0,25.331,0.0,959.0,2.0806181282556,0.3502787222605021,23.859854220119672,8412.312539486236
2021-07-06 15:30:00,0.0,26.402,0.5,959.0,2.3406634489234697,0.5069216572617113,24.86151283197642,8748.33827474808
2021-07-06 16:00:00,0.0,23.208,0.5,96.8,1.9118245604069983,0.1778302003182369,21.773021511923172,7668.976858576685
2021-07-06 16:30:00,0.0,25.841,0.5,96.8,2.3676118554581187,0.2092001786924373,24.867089735776467,8751.70960080429
2021-07-06 17:00:00,0.0,26.475,1.01,523.2,2.482117806420443,0.5088735082060503,25.74278124846704,9058.026274706655
2021-07-06 17:30:00,0.0,24.798,1.51,523.2,1.7808913428517452,0.4930599417379342,23.319524095181308,8218.483374437674
2021-07-06 18:00:00,0.0,23.809,2.01,453.9,1.4690401317548334,0.4729163563043282,21.735588380929805,7663.76994860052
2021-07-06 18:30:00,0.0,22.657,2.01,453.9,1.2850335966449673,0.4268674317002483,19.91835320111829,7035.650479293112
2021-07-06 19:00:00,0.0,21.413,2.01,0.2,1.1019457097744465,0.1056259961358991,17.385474193127934,6139.393951336012
2021-07-06 19:30:00,0.0,21.628,1.01,0.2,1.0932744006056927,0.0823444134330767,14.68040657798548,5185.9331138190755
2021-07-06 20:00:00,0.0,20.507,0.0,0.2,0.9264700566420018,5.009806949518672e-05,12.343821086879714,4355.433226523228
2021-07-06 20:30:00,0.0,20.341,0.0,0.2,0.8764318372477826,4.9746028364174434e-05,10.013559831720949,3534.4760852996674
2021-07-06 21:00:00,0.0,19.508,0.0,0.2,0.7302983609626031,4.7999675281042e-05,8.177162577755638,2885.454003576405
2021-07-06 21:30:00,0.0,18.533,0.0,0.2,0.6381207635083003,4.599922636477037e-05,6.342351442904494,2239.821017390387
2021-07-06 22:00:00,0.0,17.891,0.0,0.2,0.5575689737399823,4.470821142930976e-05,4.790335683187982,1689.2693479429704
2021-07-06 22:30:00,0.0,17.225,0.0,0.2,0.4953140626208325,4.3391293708462714e-05,3.909891055711795,1379.5624854997482
2021-07-06 23:00:00,0.0,16.368,0.5,0.2,0.4076617133120715,0.0225281500317427,3.087575663361239,1082.657831003919
2021-07-06 23:30:00,0.0,15.533,0.5,0.2,0.3282440532684894,0.0182827732303048,2.618179100380263,916.5934458720149
2021-07-07 00:00:00,0.0,14.553,0.0,0.2,0.2700721425305004,3.834218123900825e-05,2.3032713066125936,812.7731229141184
2021-07-07 00:30:00,0.0,14.29,0.0,0.2,0.2557434217162073,3.7865839024847846e-05,1.8236853608631851,641.0056127684514
2021-07-07 01:00:00,0.0,13.714,0.5,0.2,0.2243921210953495,0.0127073511968407,1.7809403589615986,622.4509081306282
2021-07-07 01:30:00,0.0,13.473,0.5,0.2,0.2162645998573123,0.0122731813476839,1.1617655005309513,407.8797196184797
2021-07-07 02:00:00,0.0,13.112,0.0,0.2,0.1931237651927712,3.577829014767662e-05,1.1760034219364128,409.0411179610565
2021-07-07 02:30:00,0.0,12.847,0.5,0.2,0.1794244223409656,0.0102401531774677,1.088891557755872,386.3592657877546
2021-07-07 03:00:00,0.0,12.606,0.5,0.2,0.1649351135734115,0.0094338570878813,0.9425395005104876,328.99608506389444
2021-07-07 03:30:00,0.0,12.364,0.0,0.2,0.159460952100032,3.449201241240149e-05,0.8693017111361255,305.18543534343814
2021-07-07 04:00:00,0.0,12.34,0.5,0.2,0.1735527059784826,0.0099476797525503,0.6628698600316627,238.9642900720661
2021-07-07 04:30:00,0.0,12.171,0.5,0.2,0.1843994396445845,0.0105829401266694,0.6917610164101159,238.0061069614087
2021-07-07 05:00:00,0.0,11.832,0.5,0.2,0.172000633915396,0.0099002364132907,0.5885664491571914,204.890647374334
2021-07-07 05:30:00,0.0,11.54,0.0,0.2,0.1632700225471731,3.311050171962025e-05,0.6034620362803186,210.61846150454943
2021-07-07 06:00:00,0.0,11.224,0.0,0.2,0.1478951079473287,3.259057729906609e-05,0.6772669106607708,234.6170273486283
2021-07-07 06:30:00,0.0,11.321,0.5,0.2,0.1649415337712489,0.009534255836529,0.7514478181041342,263.1418814771773
2021-07-07 07:00:00,0.0,11.443,0.0,0.2,0.1784472943123742,3.295032186546801e-05,0.588004868923627,201.386806165922
2021-07-07 07:30:00,0.0,11.637,0.0,0.2,0.1752758868362217,3.327119776282683e-05,0.6623862382982483,228.89494840534005
2021-07-07 08:00:00,0.0,12.05,0.0,0.2,0.1773065436291832,3.396117416792823e-05,1.350276403218449,477.1312860097752
