z6B01573,Port1,,,Port2,,,Port3,,,Port7,
# Records: 1991,GS3 Moisture/Temp/EC,,,GS3 Moisture/Temp/EC,,,GS3 Moisture/Temp/EC,,,Battery,
Timestamps, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC,% Battery Percent, mV Battery Voltage
,,,,,,,,,,,
2022-04-28 21:45,0.061,12.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10342
2022-04-28 22:45,0.062,8.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10357
2022-04-28 23:45,0.062,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10372
2022-04-29 0:45,0.06,9.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10389
2022-04-29 1:45,0.061,12.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10394
2022-04-29 2:45,0.004,6.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10395
2022-04-29 3:45,0.003,3.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10386
2022-04-29 4:45,0.005,2.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10373
2022-04-29 5:45,0.005,1.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10360
2022-04-29 6:45,0.006,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10347
2022-04-29 7:45,0.006,0.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10336
2022-04-29 8:45,0.005,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10328
2022-04-29 9:45,0.006,-0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10317
2022-04-29 10:45,0.006,-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10306
2022-04-29 11:45,0.005,-1.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10295
2022-04-29 12:45,0.006,-1.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10284
2022-04-29 13:45,0.006,-1.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10275
2022-04-29 14:45,0.006,-1.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10266
2022-04-29 15:45,0.008,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10267
2022-04-29 16:45,0.011,2.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10289
2022-04-29 17:45,0.017,5.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10344
2022-04-29 18:45,0.017,11.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10379
2022-04-29 19:45,0.013,15.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10402
2022-04-29 20:45,0.009,15.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10411
2022-04-29 21:45,0.006,13.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10419
2022-04-29 22:45,0.006,10.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10423
2022-04-29 23:45,0.006,11.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10427
2022-04-30 0:45,0.006,11.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10437
2022-04-30 1:45,0.006,14.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10440
2022-04-30 2:45,0.004,8.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10438
2022-04-30 3:45,0.003,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,10430
