,Corrected Water Potential (MPa)
2022-05-07 05:00:00,-3.0004374654693673
2022-05-07 05:30:00,-2.9654648165346407
2022-05-07 06:00:00,-3.6221344598503267
2022-05-07 06:30:00,-4.127189875985731
2022-05-07 07:00:00,-4.466688737098169
2022-05-07 07:30:00,-4.661724381011925
2022-05-07 08:00:00,-4.396010456958951
2022-05-07 08:30:00,-4.1302965329059775
2022-05-07 09:00:00,
2022-05-07 09:30:00,
2022-05-07 10:00:00,
2022-05-07 10:30:00,
2022-05-07 11:00:00,
2022-05-07 11:30:00,
2022-05-07 12:00:00,
2022-05-07 12:30:00,
2022-05-07 13:00:00,
2022-05-07 13:30:00,
2022-05-07 14:00:00,
2022-05-07 14:30:00,
2022-05-07 15:00:00,
2022-05-07 15:30:00,
2022-05-07 16:00:00,
2022-05-07 16:30:00,
2022-05-07 17:00:00,
2022-05-07 17:30:00,
2022-05-07 18:00:00,
2022-05-07 18:30:00,
2022-05-07 19:00:00,
2022-05-07 19:30:00,
2022-05-07 20:00:00,
2022-05-07 20:30:00,
2022-05-07 21:00:00,
2022-05-07 21:30:00,
2022-05-07 22:00:00,
2022-05-07 22:30:00,
2022-05-07 23:00:00,-3.864582608853004
2022-05-07 23:30:00,-3.5988686848000304
2022-05-08 00:00:00,
2022-05-08 00:30:00,
2022-05-08 01:00:00,
2022-05-08 01:30:00,-2.5360129885881366
2022-05-08 02:00:00,-2.270299064535163
2022-05-08 02:30:00,-2.0045851404821895
2022-05-08 03:00:00,-1.7388712164292162
2022-05-08 03:30:00,-1.4731572923762424
2022-05-08 04:00:00,-2.3332823287494215
2022-05-08 04:30:00,-3.296235073697982
2022-05-08 05:00:00,-4.145895442474697
2022-05-08 05:30:00,-4.7106338202146
2022-05-08 06:00:00,-4.962663232168579
2022-05-08 06:30:00,-5.006119569395783
2022-05-08 07:00:00,-4.980161959677779
2022-05-08 07:30:00,-4.813734286254381
2022-05-08 08:00:00,-4.647306612830985
2022-05-08 08:30:00,-4.480878939407587
2022-05-08 09:00:00,
2022-05-08 09:30:00,
2022-05-08 10:00:00,
2022-05-08 10:30:00,
2022-05-08 11:00:00,
2022-05-08 11:30:00,
2022-05-08 12:00:00,
2022-05-08 12:30:00,
2022-05-08 13:00:00,
2022-05-08 13:30:00,
2022-05-08 14:00:00,
2022-05-08 14:30:00,
2022-05-08 15:00:00,
2022-05-08 15:30:00,
2022-05-08 16:00:00,
2022-05-08 16:30:00,
2022-05-08 17:00:00,
2022-05-08 17:30:00,
2022-05-08 18:00:00,
2022-05-08 18:30:00,-4.45236911322548
2022-05-08 19:00:00,-4.467327364178602
2022-05-08 19:30:00,-4.482285615131723
2022-05-08 20:00:00,-4.497243866084846
2022-05-08 20:30:00,-4.512202117037968
2022-05-08 21:00:00,-4.71927306583422
2022-05-08 21:30:00,-4.72047455303744
2022-05-08 22:00:00,-4.620708552388962
2022-05-08 22:30:00,-4.483217296140111
2022-05-08 23:00:00,-4.314451265984189
2022-05-08 23:30:00,-4.108340014605684
2022-05-09 00:00:00,-3.8876859167067845
2022-05-09 00:30:00,-3.6907366072931023
2022-05-09 01:00:00,-3.5252361934253638
2022-05-09 01:30:00,-3.3518987568692142
2022-05-09 02:00:00,-3.1192765307111157
2022-05-09 02:30:00,-2.8138021967983047
2022-05-09 03:00:00,-2.4755381755859456
2022-05-09 03:30:00,-2.1650347580173217
2022-05-09 04:00:00,-1.9163731776097932
2022-05-09 04:30:00,-1.7240217518559287
2022-05-09 05:00:00,-1.5706524832576516
2022-05-09 05:30:00,-1.4596057611504674
2022-05-09 06:00:00,-1.4197022308461833
2022-05-09 06:30:00,-1.4834074784289812
2022-05-09 07:00:00,-1.6603386367482482
2022-05-09 07:30:00,-1.9287857480671866
2022-05-09 08:00:00,-2.253221271248706
2022-05-09 08:30:00,-2.611018817094975
2022-05-09 09:00:00,-2.9996443301252462
2022-05-09 09:30:00,-3.4165987895930674
2022-05-09 10:00:00,-3.8352388573852836
2022-05-09 10:30:00,-4.20452779902396
2022-05-09 11:00:00,-4.4750925795791385
2022-05-09 11:30:00,-4.6287309637345
2022-05-09 12:00:00,-4.688563758011992
2022-05-09 12:30:00,-4.704888474042219
2022-05-09 13:00:00,-4.7255496470381955
2022-05-09 13:30:00,-4.766641539946367
2022-05-09 14:00:00,-4.801279122483475
2022-05-09 14:30:00,-4.775131028158588
2022-05-09 15:00:00,-4.639519026522204
2022-05-09 15:30:00,-4.385228067773495
2022-05-09 16:00:00,-4.060243411594425
2022-05-09 16:30:00,-3.756889752573534
2022-05-09 17:00:00,-3.565126381340029
2022-05-09 17:30:00,-3.512867835895156
2022-05-09 18:00:00,-3.5380517243319405
2022-05-09 18:30:00,-3.528617735583818
2022-05-09 19:00:00,-3.4054871749452262
2022-05-09 19:30:00,-3.1716641581679825
2022-05-09 20:00:00,-2.8878015997404156
2022-05-09 20:30:00,-2.6170369389924897
2022-05-09 21:00:00,-2.3965282617317563
2022-05-09 21:30:00,-2.2414325554191916
2022-05-09 22:00:00,-2.154190243207877
2022-05-09 22:30:00,-2.125866421820931
2022-05-09 23:00:00,-2.137579790078334
2022-05-09 23:30:00,-2.174151809424969
2022-05-10 00:00:00,-2.2444548294192717
2022-05-10 00:30:00,-2.3833097096352915
2022-05-10 01:00:00,-2.617543705098619
2022-05-10 01:30:00,-2.917319202287139
2022-05-10 02:00:00,-3.181530005298227
2022-05-10 02:30:00,-3.2873802472513636
2022-05-10 03:00:00,-3.180508164294951
2022-05-10 03:30:00,-2.936734610555891
2022-05-10 04:00:00,-2.7358077706328783
2022-05-10 04:30:00,-2.752148368014744
2022-05-10 05:00:00,-3.0388630281204234
2022-05-10 05:30:00,-3.498601186077274
2022-05-10 06:00:00,-3.965607863878051
2022-05-10 06:30:00,-4.31960832335452
2022-05-10 07:00:00,-4.529306452667304
2022-05-10 07:30:00,-4.613637408836001
2022-05-10 08:00:00,-4.591089924447743
2022-05-10 08:30:00,-4.463703233681454
2022-05-10 09:00:00,-4.217016235802098
2022-05-10 09:30:00,-3.819746338662126
2022-05-10 10:00:00,-3.2482362892453978
2022-05-10 10:30:00,-3.2482362892453978
2022-05-10 11:00:00,-3.2482362892453978
2022-05-10 11:30:00,-3.2482362892453978
2022-05-10 12:00:00,-3.2482362892453978
2022-05-10 12:30:00,
2022-05-10 13:00:00,
2022-05-10 13:30:00,
2022-05-10 14:00:00,
2022-05-10 14:30:00,
2022-05-10 15:00:00,
2022-05-10 15:30:00,
2022-05-10 16:00:00,
2022-05-10 16:30:00,
2022-05-10 17:00:00,
2022-05-10 17:30:00,
2022-05-10 18:00:00,
2022-05-10 18:30:00,
2022-05-10 19:00:00,
2022-05-10 19:30:00,
2022-05-10 20:00:00,
2022-05-10 20:30:00,
2022-05-10 21:00:00,
2022-05-10 21:30:00,
2022-05-10 22:00:00,
2022-05-10 22:30:00,
2022-05-10 23:00:00,-3.7482367539603714
2022-05-10 23:30:00,-3.0327702742392884
2022-05-11 00:00:00,-2.317303794518205
2022-05-11 00:30:00,-1.6018373147971219
2022-05-11 01:00:00,-0.8863708350760388
2022-05-11 01:30:00,-0.1709043553549551
2022-05-11 02:00:00,-0.2678353088313268
2022-05-11 02:30:00,-0.42725750043782423
2022-05-11 03:00:00,-0.6763973947773945
2022-05-11 03:30:00,-1.0307732308078346
2022-05-11 04:00:00,-1.474377947133271
2022-05-11 04:30:00,-1.9577851606592362
2022-05-11 05:00:00,-2.4179568883690523
2022-05-11 05:30:00,-2.7990167556693963
2022-05-11 06:00:00,-3.055785610944797
2022-05-11 06:30:00,-3.146161745814663
2022-05-11 07:00:00,-3.0317406289573032
2022-05-11 07:30:00,-2.6980272692170018
2022-05-11 08:00:00,-2.1839989891825926
2022-05-11 08:30:00,-2.0126889627720606
2022-05-11 09:00:00,
2022-05-11 09:30:00,
2022-05-11 10:00:00,
2022-05-11 10:30:00,
2022-05-11 11:00:00,
2022-05-11 11:30:00,
2022-05-11 12:00:00,
2022-05-11 12:30:00,
2022-05-11 13:00:00,
2022-05-11 13:30:00,
2022-05-11 14:00:00,
2022-05-11 14:30:00,
2022-05-11 15:00:00,
2022-05-11 15:30:00,
2022-05-11 16:00:00,
2022-05-11 16:30:00,
2022-05-11 17:00:00,
2022-05-11 17:30:00,
2022-05-11 18:00:00,
2022-05-11 18:30:00,
2022-05-11 19:00:00,
2022-05-11 19:30:00,
2022-05-11 20:00:00,
2022-05-11 20:30:00,
2022-05-11 21:00:00,
2022-05-11 21:30:00,
2022-05-11 22:00:00,
2022-05-11 22:30:00,
2022-05-11 23:00:00,-1.8413789363615283
2022-05-11 23:30:00,-1.670068909950996
2022-05-12 00:00:00,-1.498758883540464
2022-05-12 00:30:00,-1.3274488571299319
2022-05-12 01:00:00,-1.1561388307193996
2022-05-12 01:30:00,-0.9848288043088674
2022-05-12 02:00:00,-0.8135187778983353
2022-05-12 02:30:00,-0.6422087514878031
2022-05-12 03:00:00,-1.063899076850294
2022-05-12 03:30:00,-1.6645771020337012
2022-05-12 04:00:00,-2.3957448003673503
2022-05-12 04:30:00,-3.1495838264743146
2022-05-12 05:00:00,-3.8045631769166137
2022-05-12 05:30:00,-4.281551584618332
2022-05-12 06:00:00,-4.573725161478974
2022-05-12 06:30:00,-4.731833012994865
2022-05-12 07:00:00,-4.731833012994865
2022-05-12 07:30:00,-4.731833012994865
2022-05-12 08:00:00,-4.731833012994865
2022-05-12 08:30:00,-4.731833012994865
2022-05-12 09:00:00,
2022-05-12 09:30:00,
2022-05-12 10:00:00,
2022-05-12 10:30:00,
2022-05-12 11:00:00,
2022-05-12 11:30:00,
